,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,6.139664823
1,30,5,5,1,5.71234465
2,30,5,5,2,5.192396295
3,30,5,5,3,4.28501447
4,30,5,5,4,3.982118845
5,30,5,5,5,3.811298646
6,30,5,5,6,3.27341364
7,30,5,5,7,3.034144152
8,30,5,5,8,2.860567389
9,30,5,5,9,2.762399004
