,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,61.81941369996639,[ 0.42083333 -0.34097222],25,3,"[24, 12, 15, 25]",2,-1
1,0,64.07532229996286,[-0.42847222 -0.34027778],24,0,"[24, 12, 15, 25]",2,-1
2,0,64.9072949999827,[ 0.11180556 -0.32986111],15,1,"[24, 12, 15, 25]",2,-1
3,0,65.59526420000475,[-0.05763889 -0.33611111],12,0,"[24, 12, 15, 25]",2,-1
4,1,72.13128209998831,[-0.47222222 -0.33958333],19,0,"[19, 12, 3, 11]",18,-1
5,1,75.77944559999742,[ 0.25625 -0.3625 ],3,1,"[19, 12, 3, 11]",18,-1
6,1,76.98725449998165,[ 0.45972222 -0.35277778],11,1,"[19, 12, 3, 11]",18,-1
7,1,77.73114109999733,[-0.08263889 -0.37291667],12,0,"[19, 12, 3, 11]",18,-1
8,2,87.06753329996718,[-0.41736111 -0.33819444],15,0,"[15, 0, 14, 19]",23,-1
9,2,92.46721849997994,[ 0.13402778 -0.35902778],14,1,"[15, 0, 14, 19]",23,-1
10,2,94.1632337999763,[-0.08402778 -0.34027778],0,0,"[15, 0, 14, 19]",23,-1
11,2,94.93931749998592,[ 0.57083333 -0.34097222],19,0,"[15, 0, 14, 19]",23,-1
12,3,102.86739019997185,[-0.40416667 -0.33888889],4,0,"[4, 5, 27, 13]",28,-1
13,3,111.15544409997528,[ 0.10347222 -0.36527778],27,1,"[4, 5, 27, 13]",28,-1
14,3,111.99529519997304,[-0.06319444 -0.36527778],5,0,"[4, 5, 27, 13]",28,-1
15,3,112.46718999999575,[ 0.60347222 -0.32013889],13,0,"[4, 5, 27, 13]",28,-1
16,4,120.33952579996549,[-0.41319444 -0.31944444],21,0,"[21, 22, 4, 20]",25,-1
17,4,124.85123039997416,[ 0.48055556 -0.33402778],20,2,"[21, 22, 4, 20]",25,-1
18,4,125.41931389999809,[ 0.26319444 -0.35347222],4,1,"[21, 22, 4, 20]",25,-1
19,4,126.05916060000891,[-0.09722222 -0.34375   ],22,0,"[21, 22, 4, 20]",25,-1
20,5,129.54735629999777,[-0.07361111 -0.27708333],8,1,"[13, 8, 20, 11]",3,-1
21,5,130.9072698999662,[ 0.43541667 -0.29166667],11,2,"[13, 8, 20, 11]",3,-1
22,5,133.54728389997035,[ 0.19236111 -0.325     ],20,1,"[13, 8, 20, 11]",3,-1
23,5,134.35524060000898,[-0.40902778 -0.35277778],13,0,"[13, 8, 20, 11]",3,-1
24,6,140.46726909995778,[-0.52777778 -0.30833333],19,0,"[19, 15, 2, 0]",11,-1
25,6,144.41933010000503,[ 0.275   -0.34375],2,1,"[19, 15, 2, 0]",11,-1
26,6,145.24320549995173,[-0.13819444 -0.37986111],15,0,"[19, 15, 2, 0]",11,-1
27,6,146.035196599958,[ 0.39791667 -0.30625   ],0,0,"[19, 15, 2, 0]",11,-1
28,7,162.07546309998725,[ 0.26111111 -0.36597222],13,2,"[27, 20, 13, 29]",26,-1
29,7,166.2832646999741,[-0.57430556 -0.37083333],27,0,"[27, 20, 13, 29]",26,-1
30,7,167.60321539995493,[ 0.51875 -0.3125 ],29,1,"[27, 20, 13, 29]",26,-1
31,7,168.2831958999741,[-0.08958333 -0.31527778],20,0,"[27, 20, 13, 29]",26,-1
32,8,176.97141140000895,[ 0.47430556 -0.33541667],22,3,"[10, 17, 1, 22]",14,-1
33,8,178.28320289996918,[-0.11041667 -0.35972222],17,1,"[10, 17, 1, 22]",14,-1
34,8,181.3952491999953,[ 0.20763889 -0.33541667],1,1,"[10, 17, 1, 22]",14,-1
35,8,182.22719409997808,[-0.39166667 -0.34652778],10,0,"[10, 17, 1, 22]",14,-1
36,9,188.41142769996077,[-0.43333333 -0.35625   ],7,0,"[7, 6, 15, 28]",0,-1
37,9,191.2193086000043,[ 0.15138889 -0.34166667],15,1,"[7, 6, 15, 28]",0,-1
38,9,192.1392715999973,[-0.08819444 -0.35      ],6,0,"[7, 6, 15, 28]",0,-1
39,9,193.05927490000613,[ 0.54444444 -0.30972222],28,0,"[7, 6, 15, 28]",0,-1
40,10,207.17132799996762,[-0.05763889 -0.38541667],10,1,"[27, 10, 20, 28]",17,-1
41,10,212.65124769997783,[ 0.52361111 -0.34375   ],28,2,"[27, 10, 20, 28]",17,-1
42,10,213.2991799999727,[ 0.29236111 -0.37222222],20,1,"[27, 10, 20, 28]",17,-1
43,10,213.8671830999665,[-0.56041667 -0.40277778],27,0,"[27, 10, 20, 28]",17,-1
44,11,221.1472232999513,[ 0.13680556 -0.31319444],16,2,"[6, 3, 16, 0]",24,-1
45,11,221.7713642999879,[-0.11875    -0.33680556],3,1,"[6, 3, 16, 0]",24,-1
46,11,222.611299399985,[-0.42847222 -0.3375    ],6,0,"[6, 3, 16, 0]",24,-1
47,11,223.30724920000648,[ 0.49722222 -0.24305556],0,0,"[6, 3, 16, 0]",24,-1
48,12,232.9794705999666,[-0.10347222 -0.32291667],22,1,"[17, 22, 12, 13]",21,-1
49,12,235.9952689000056,[ 0.4875     -0.27638889],13,2,"[17, 22, 12, 13]",21,-1
50,12,236.7711464999593,[-0.43402778 -0.30902778],17,0,"[17, 22, 12, 13]",21,-1
51,12,237.40319459995953,[ 0.15902778 -0.26805556],12,0,"[17, 22, 12, 13]",21,-1
52,13,242.1232861999888,[ 0.49930556 -0.33194444],2,3,"[21, 3, 19, 2]",16,-1
53,13,252.17920620000223,[ 0.15972222 -0.34513889],19,2,"[21, 3, 19, 2]",16,-1
54,13,252.65916310000466,[-0.11041667 -0.35972222],3,1,"[21, 3, 19, 2]",16,-1
