,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,49.47127659997204,[-0.18541667 -0.30763889],7,1,"[4, 7, 5, 13]",9,-1
1,0,51.32808459998341,[ 0.50347222 -0.29722222],13,2,"[4, 7, 5, 13]",9,-1
2,0,52.829957199981436,[-0.49444444 -0.28263889],4,0,"[4, 7, 5, 13]",9,-1
3,0,53.78305209998507,[ 0.11597222 -0.29861111],5,0,"[4, 7, 5, 13]",9,-1
4,1,60.98113609995926,[ 0.49513889 -0.31527778],1,3,"[22, 19, 12, 1]",6,-1
5,1,62.50309630000265,[-0.51527778 -0.29791667],22,0,"[22, 19, 12, 1]",6,-1
6,1,64.50807599996915,[-0.18055556 -0.29375   ],19,0,"[22, 19, 12, 1]",6,-1
7,1,65.34797800000524,[ 0.12708333 -0.3       ],12,0,"[22, 19, 12, 1]",6,-1
8,2,70.53116029995726,[ 0.15138889 -0.32430556],19,2,"[5, 28, 19, 7]",20,-1
9,2,76.79408699995838,[-0.2        -0.30138889],28,1,"[5, 28, 19, 7]",20,-1
10,2,78.86711599997943,[-0.49444444 -0.27916667],5,0,"[5, 28, 19, 7]",20,-1
11,2,79.89099310000893,[ 0.52152778 -0.30416667],7,0,"[5, 28, 19, 7]",20,-1
12,3,88.75198529998306,[-0.12916667 -0.31458333],25,1,"[3, 25, 17, 21]",2,-1
13,3,97.78205689997412,[ 0.14861111 -0.30347222],17,1,"[3, 25, 17, 21]",2,-1
14,3,100.47007879999,[-0.4875     -0.28263889],3,0,"[3, 25, 17, 21]",2,-1
15,3,101.42397139995592,[ 0.51597222 -0.28680556],21,0,"[3, 25, 17, 21]",2,-1
16,4,113.72112000000197,[-0.49722222 -0.30138889],28,0,"[28, 4, 24, 2]",26,-1
17,4,122.2352191999671,[-0.12847222 -0.30902778],4,0,"[28, 4, 24, 2]",26,-1
18,4,123.24404859996866,[ 0.47569444 -0.28888889],2,1,"[28, 4, 24, 2]",26,-1
19,4,123.79499149997719,[ 0.23125    -0.29305556],24,0,"[28, 4, 24, 2]",26,-1
20,5,139.52410420001252,[-0.52361111 -0.32777778],17,0,"[17, 26, 27, 19]",18,-1
21,5,141.2771466000122,[ 0.14166667 -0.32013889],27,1,"[17, 26, 27, 19]",18,-1
22,5,142.66104259999702,[ 0.53402778 -0.30902778],19,1,"[17, 26, 27, 19]",18,-1
23,5,143.44995649997145,[-0.15486111 -0.28888889],26,0,"[17, 26, 27, 19]",18,-1
24,6,150.25502260000212,[-0.49166667 -0.31041667],29,0,"[29, 13, 3, 0]",19,-1
25,6,153.3640563999652,[-0.18333333 -0.29583333],13,0,"[29, 13, 3, 0]",19,-1
26,6,160.3010595999658,[ 0.5125 -0.3125],0,1,"[29, 13, 3, 0]",19,-1
27,6,160.93197839998174,[ 0.21805556 -0.29097222],3,0,"[29, 13, 3, 0]",19,-1
28,7,171.892143199977,[-0.51805556 -0.28263889],22,0,"[22, 14, 10, 25]",29,-1
29,7,173.30901019996963,[-0.18125    -0.28263889],14,0,"[22, 14, 10, 25]",29,-1
30,7,175.5589975999901,[ 0.48541667 -0.30555556],25,1,"[22, 14, 10, 25]",29,-1
31,7,176.26097120001214,[ 0.22291667 -0.30208333],10,0,"[22, 14, 10, 25]",29,-1
32,8,183.58511539996834,[ 0.13541667 -0.29444444],22,2,"[1, 24, 22, 19]",13,-1
33,8,187.26207699999213,[-0.19930556 -0.28333333],24,1,"[1, 24, 22, 19]",13,-1
34,8,189.03103339998052,[ 0.48541667 -0.30069444],19,1,"[1, 24, 22, 19]",13,-1
35,8,190.01905329996953,[-0.47777778 -0.25694444],1,0,"[1, 24, 22, 19]",13,-1
36,9,200.62414089997765,[ 0.52291667 -0.3125    ],1,3,"[5, 13, 10, 1]",8,-1
37,9,207.47510809998494,[ 0.15902778 -0.30138889],10,2,"[5, 13, 10, 1]",8,-1
38,9,208.3741139000049,[-0.15208333 -0.27708333],13,1,"[5, 13, 10, 1]",8,-1
39,9,209.05601379997097,[-0.50902778 -0.26319444],5,0,"[5, 13, 10, 1]",8,-1
40,10,214.11411429999862,[ 0.48680556 -0.30416667],29,3,"[17, 27, 3, 29]",21,-1
41,10,218.54906140000094,[-0.13819444 -0.28819444],27,1,"[17, 27, 3, 29]",21,-1
42,10,220.48604310001247,[-0.55763889 -0.25486111],17,0,"[17, 27, 3, 29]",21,-1
43,10,221.5369698999566,[ 0.15763889 -0.26944444],3,0,"[17, 27, 3, 29]",21,-1
44,11,232.5799759000074,[-0.13611111 -0.28472222],28,1,"[13, 28, 21, 26]",4,-1
45,11,234.86711549997563,[ 0.46388889 -0.30486111],26,2,"[13, 28, 21, 26]",4,-1
46,11,242.04109859996242,[-0.51180556 -0.24375   ],13,0,"[13, 28, 21, 26]",4,-1
47,11,242.78110319998814,[ 0.13611111 -0.24444444],21,0,"[13, 28, 21, 26]",4,-1
48,12,251.95615609997185,[-0.12986111 -0.29375   ],29,1,"[5, 29, 6, 20]",11,-1
49,12,257.87110709998524,[ 0.46666667 -0.28541667],20,2,"[5, 29, 6, 20]",11,-1
50,12,258.58596009999746,[ 0.22777778 -0.28055556],6,1,"[5, 29, 6, 20]",11,-1
51,12,259.308996799984,[-0.48263889 -0.24791667],5,0,"[5, 29, 6, 20]",11,-1
52,13,266.7462209999794,[ 0.49930556 -0.29375   ],7,3,"[13, 20, 19, 7]",1,-1
53,13,268.2460496999556,[-0.49722222 -0.25902778],13,0,"[13, 20, 19, 7]",1,-1
54,13,269.601058500004,[ 0.15277778 -0.28888889],19,1,"[13, 20, 19, 7]",1,-1
55,13,270.1409386000014,[-0.12986111 -0.27569444],20,0,"[13, 20, 19, 7]",1,-1
56,14,286.5900472999783,[-0.47916667 -0.29305556],24,0,"[24, 7, 29, 10]",3,-1
57,14,287.7552337999805,[ 0.13680556 -0.30138889],29,1,"[24, 7, 29, 10]",3,-1
58,14,292.5900545999757,[ 0.47986111 -0.30972222],10,1,"[24, 7, 29, 10]",3,-1
59,14,293.3569763000123,[-0.16388889 -0.2875    ],7,0,"[24, 7, 29, 10]",3,-1
60,15,307.381014899991,[ 0.15694444 -0.30763889],4,2,"[13, 28, 4, 7]",10,-1
61,15,310.9950799999642,[-0.21388889 -0.29305556],28,1,"[13, 28, 4, 7]",10,-1
62,15,311.51807190000545,[-0.44930556 -0.29305556],13,0,"[13, 28, 4, 7]",10,-1
63,15,312.22113889997127,[ 0.44097222 -0.30138889],7,0,"[13, 28, 4, 7]",10,-1
64,16,319.31710029998794,[ 0.20763889 -0.31111111],22,2,"[27, 3, 22, 9]",23,-1
65,16,321.57609519996913,[ 0.45416667 -0.31180556],9,2,"[27, 3, 22, 9]",23,-1
66,16,323.60410539997974,[-0.47083333 -0.28333333],27,0,"[27, 3, 22, 9]",23,-1
67,16,324.211031099956,[-0.18055556 -0.27638889],3,0,"[27, 3, 22, 9]",23,-1
68,17,332.7801389999804,[ 0.12847222 -0.30625   ],18,2,"[8, 10, 18, 29]",27,-1
69,17,338.6980646000011,[-0.49583333 -0.26388889],8,0,"[8, 10, 18, 29]",27,-1
70,17,342.0230314999935,[-0.1875     -0.27361111],10,0,"[8, 10, 18, 29]",27,-1
71,17,342.85999430000084,[ 0.54236111 -0.29930556],29,0,"[8, 10, 18, 29]",27,-1
72,18,356.59725299995625,[ 0.49027778 -0.30138889],17,3,"[3, 19, 16, 17]",12,-1
73,18,360.74516809999477,[-0.14236111 -0.29652778],19,1,"[3, 19, 16, 17]",12,-1
74,18,361.4410354999709,[ 0.13263889 -0.28333333],16,1,"[3, 19, 16, 17]",12,-1
75,18,362.27204199996777,[-0.47361111 -0.26875   ],3,0,"[3, 19, 16, 17]",12,-1
76,19,380.5032111000037,[ 0.13194444 -0.29722222],22,2,"[13, 11, 22, 29]",5,-1
77,19,383.17308340000454,[-0.47222222 -0.26944444],13,0,"[13, 11, 22, 29]",5,-1
78,19,384.2420528999646,[ 0.49722222 -0.29375   ],29,1,"[13, 11, 22, 29]",5,-1
79,19,384.9659357999917,[-0.17013889 -0.29027778],11,0,"[13, 11, 22, 29]",5,-1
80,20,394.0421515000053,[ 0.14166667 -0.30138889],6,2,"[1, 8, 6, 4]",14,-1
81,20,398.74419349996606,[-0.46111111 -0.29166667],1,0,"[1, 8, 6, 4]",14,-1
82,20,400.7720851000049,[-0.15138889 -0.30416667],8,0,"[1, 8, 6, 4]",14,-1
83,20,401.5600720999646,[ 0.54513889 -0.29375   ],4,0,"[1, 8, 6, 4]",14,-1
84,21,407.3241786999861,[ 0.49791667 -0.31180556],29,3,"[3, 16, 0, 29]",24,-1
85,21,414.9281017999747,[-0.13958333 -0.29513889],16,1,"[3, 16, 0, 29]",24,-1
86,21,416.8910572999739,[ 0.13125    -0.29027778],0,1,"[3, 16, 0, 29]",24,-1
87,21,417.6249600999872,[-0.48611111 -0.27777778],3,0,"[3, 16, 0, 29]",24,-1
88,22,424.6441839999752,[ 0.47986111 -0.33402778],16,3,"[11, 12, 6, 16]",15,-1
89,22,426.9640725000063,[ 0.21041667 -0.30694444],6,2,"[11, 12, 6, 16]",15,-1
90,22,429.258066499955,[-0.48402778 -0.27430556],11,0,"[11, 12, 6, 16]",15,-1
91,22,429.80302659998415,[-0.21666667 -0.26875   ],12,0,"[11, 12, 6, 16]",15,-1
92,23,438.6401743000024,[ 0.14236111 -0.30416667],16,2,"[13, 8, 16, 27]",7,-1
93,23,447.058113600011,[-0.13472222 -0.29513889],8,1,"[13, 8, 16, 27]",7,-1
94,23,447.6389726999914,[-0.45625    -0.28541667],13,0,"[13, 8, 16, 27]",7,-1
95,23,448.55209879996255,[ 0.42847222 -0.29166667],27,0,"[13, 8, 16, 27]",7,-1
96,24,461.26311160001205,[ 0.19236111 -0.30972222],7,2,"[13, 27, 7, 0]",22,-1
97,24,464.18311449995963,[-0.46041667 -0.27708333],13,0,"[13, 27, 7, 0]",22,-1
98,24,465.27005629998166,[ 0.51597222 -0.30694444],0,1,"[13, 27, 7, 0]",22,-1
99,24,466.01399129995843,[-0.14166667 -0.2875    ],27,0,"[13, 27, 7, 0]",22,-1
100,25,472.4340613000095,[-0.15625    -0.30069444],9,1,"[7, 9, 28, 2]",0,-1
101,25,475.21102559997234,[-0.52847222 -0.27777778],7,0,"[7, 9, 28, 2]",0,-1
102,25,478.9111219999613,[ 0.13888889 -0.29166667],28,0,"[7, 9, 28, 2]",0,-1
103,25,479.6090300999931,[ 0.48611111 -0.2875    ],2,0,"[7, 9, 28, 2]",0,-1
104,26,493.7871853999677,[-0.51041667 -0.28472222],27,0,"[27, 17, 0, 23]",25,-1
105,26,496.1821564999991,[ 0.50277778 -0.28888889],23,2,"[27, 17, 0, 23]",25,-1
106,26,498.25007849995745,[-0.125      -0.28541667],17,0,"[27, 17, 0, 23]",25,-1
107,26,498.84003069996834,[ 0.1625     -0.27361111],0,0,"[27, 17, 0, 23]",25,-1
108,27,507.10318430000916,[-0.15555556 -0.2875    ],22,1,"[28, 22, 12, 17]",16,-1
109,27,508.9980971000041,[ 0.53194444 -0.29652778],17,2,"[28, 22, 12, 17]",16,-1
110,27,510.01833609997993,[-0.54097222 -0.26458333],28,0,"[28, 22, 12, 17]",16,-1
111,27,510.8390631999937,[ 0.13125 -0.25   ],12,0,"[28, 22, 12, 17]",16,-1
112,28,525.0681947999983,[ 0.48611111 -0.29305556],25,3,"[18, 26, 7, 25]",28,-1
113,28,530.8090730999829,[-0.52638889 -0.27569444],18,0,"[18, 26, 7, 25]",28,-1
114,28,531.4340658999863,[-0.2125     -0.26319444],26,0,"[18, 26, 7, 25]",28,-1
115,28,532.1100251000025,[ 0.14305556 -0.28333333],7,0,"[18, 26, 7, 25]",28,-1
116,29,546.5492768000113,[-0.5125     -0.25694444],23,0,"[23, 26, 1, 15]",17,-1
117,29,548.9251928000012,[ 0.48888889 -0.27013889],15,2,"[23, 26, 1, 15]",17,-1
118,29,549.5760892999824,[ 0.21180556 -0.27777778],1,1,"[23, 26, 1, 15]",17,-1
119,29,550.0971269999864,[-0.16944444 -0.26041667],26,0,"[23, 26, 1, 15]",17,-1
120,30,565.1321315999958,[ 0.48819444 -0.29236111],19,3,"[10, 28, 0, 19]",26,0
121,30,567.9441033999901,[ 0.22916667 -0.29236111],0,2,"[10, 28, 0, 19]",26,0
122,30,572.7571597999777,[-0.22777778 -0.26319444],28,1,"[10, 28, 0, 19]",26,0
123,30,573.3348288999987,[-0.47638889 -0.26597222],10,0,"[10, 28, 0, 19]",26,0
124,31,585.1721629999811,[-0.2125     -0.27222222],17,1,"[4, 17, 20, 29]",7,0
125,31,595.0111114999745,[-0.51388889 -0.25902778],4,0,"[4, 17, 20, 29]",7,0
126,31,596.5272229000111,[ 0.47847222 -0.27222222],29,1,"[4, 17, 20, 29]",7,0
127,31,597.1310888999724,[ 0.20555556 -0.28333333],20,0,"[4, 17, 20, 29]",7,0
128,32,604.0820630000089,[-0.49652778 -0.26944444],22,0,"[22, 6, 26, 4]",29,0
129,32,607.1421774000046,[-0.22152778 -0.28125   ],6,0,"[22, 6, 26, 4]",29,0
130,32,608.1421157000004,[ 0.48333333 -0.28194444],4,1,"[22, 6, 26, 4]",29,0
131,32,609.050076399988,[ 0.19791667 -0.28819444],26,0,"[22, 6, 26, 4]",29,0
132,33,621.1062249999959,[ 0.48888889 -0.2875    ],7,3,"[17, 20, 2, 7]",13,0
133,33,623.4831333999755,[-0.49583333 -0.24513889],17,0,"[17, 20, 2, 7]",13,0
134,33,625.6811559000053,[ 0.15625    -0.27222222],2,1,"[17, 20, 2, 7]",13,0
135,33,626.2320565999835,[-0.12916667 -0.27638889],20,0,"[17, 20, 2, 7]",13,0
136,34,636.6781470999704,[ 0.49305556 -0.29305556],15,3,"[2, 3, 13, 15]",16,0
137,34,641.3811386000016,[ 0.15694444 -0.28333333],13,2,"[2, 3, 13, 15]",16,0
138,34,644.5090542999678,[-0.5125     -0.26041667],2,0,"[2, 3, 13, 15]",16,0
139,34,645.3301102999831,[-0.21805556 -0.26180556],3,0,"[2, 3, 13, 15]",16,0
140,35,668.9602994999732,[ 0.47916667 -0.28611111],29,3,"[18, 21, 22, 29]",2,0
141,35,673.0371561999782,[-0.46319444 -0.26319444],18,0,"[18, 21, 22, 29]",2,0
142,36,676.2744155999972,[-0.12083333 -0.28194444],23,1,"[11, 23, 18, 17]",19,0
143,36,683.2131942000124,[ 0.14652778 -0.27986111],18,1,"[11, 23, 18, 17]",19,0
144,36,685.231069099973,[-0.4625     -0.27777778],11,0,"[11, 23, 18, 17]",19,0
145,36,686.3301193999941,[ 0.48402778 -0.27291667],17,0,"[11, 23, 18, 17]",19,0
146,37,699.6151620000019,[ 0.11666667 -0.2875    ],29,2,"[3, 20, 29, 0]",10,0
147,37,701.4582280999748,[-0.12777778 -0.29166667],20,1,"[3, 20, 29, 0]",10,0
148,37,705.1021411999827,[-0.52708333 -0.27430556],3,0,"[3, 20, 29, 0]",10,0
149,37,706.3791168999742,[ 0.53611111 -0.28333333],0,0,"[3, 20, 29, 0]",10,0
150,38,712.3071881000069,[ 0.48611111 -0.31458333],24,3,"[8, 14, 28, 24]",21,0
151,38,721.6722657000064,[-0.22847222 -0.29166667],14,1,"[8, 14, 28, 24]",21,0
152,38,722.2261933999835,[-0.44583333 -0.29097222],8,0,"[8, 14, 28, 24]",21,0
153,38,722.8810700000031,[ 0.08541667 -0.28611111],28,0,"[8, 14, 28, 24]",21,0
154,39,734.2751485999906,[-0.15277778 -0.30555556],15,1,"[27, 15, 23, 17]",0,0
155,39,736.5592167999712,[ 0.14027778 -0.29236111],23,1,"[27, 15, 23, 17]",0,0
156,39,737.5651400999632,[ 0.47222222 -0.29166667],17,1,"[27, 15, 23, 17]",0,0
157,39,738.5160575999762,[-0.49583333 -0.28055556],27,0,"[27, 15, 23, 17]",0,0
158,40,745.9931291000103,[-0.15763889 -0.30277778],8,1,"[2, 8, 16, 11]",23,0
159,40,748.4921409999952,[ 0.16875    -0.29652778],16,1,"[2, 8, 16, 11]",23,0
160,40,752.5911683999584,[ 0.50902778 -0.30347222],11,1,"[2, 8, 16, 11]",23,0
161,40,753.4030876999605,[-0.52083333 -0.28888889],2,0,"[2, 8, 16, 11]",23,0
162,41,764.9143226000015,[ 0.14305556 -0.30277778],6,2,"[7, 9, 6, 1]",22,0
163,41,767.396198500006,[-0.47986111 -0.28055556],7,0,"[7, 9, 6, 1]",22,0
164,41,771.8302298999624,[ 0.51805556 -0.30486111],1,1,"[7, 9, 6, 1]",22,0
165,41,772.5661225999938,[-0.14652778 -0.29097222],9,0,"[7, 9, 6, 1]",22,0
166,42,779.8033775999793,[ 0.49375    -0.32430556],23,3,"[28, 29, 1, 23]",14,0
167,42,784.4281713999808,[-0.14375    -0.29930556],29,1,"[28, 29, 1, 23]",14,0
168,42,785.6572456999565,[ 0.10486111 -0.29722222],1,1,"[28, 29, 1, 23]",14,0
169,42,786.4641696999897,[-0.50486111 -0.27291667],28,0,"[28, 29, 1, 23]",14,0
170,43,801.2161875999882,[ 0.48472222 -0.32777778],29,3,"[3, 16, 2, 29]",5,0
171,43,803.4872377999709,[-0.175      -0.31041667],16,1,"[3, 16, 2, 29]",5,0
172,43,804.3921957999701,[ 0.12569444 -0.29722222],2,1,"[3, 16, 2, 29]",5,0
173,43,805.1671729999944,[-0.45347222 -0.28194444],3,0,"[3, 16, 2, 29]",5,0
