,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,8.855985762719033
1,30,5,5,1,8.333742810890381
2,30,5,5,2,7.296129710649337
3,30,5,5,3,7.233255741556377
4,30,5,5,4,6.477289729449548
5,30,5,5,5,5.443401239971917
6,30,5,5,6,2.904359856746648
7,30,5,5,7,2.1579432404756695
8,30,5,5,8,1.3747920121990127
