0.095052 -0.250428 0.083460 0.176427 0.395599
0.237912 -0.152172 0.224772 0.003096 0.334783
0.361838 -0.030431 -0.068749 -0.281385 0.060520
0.290497 0.276711 -0.013258 0.283538 -0.017973
0.021384 0.218157 -0.058247 -0.312119 -0.043542
-0.184626 0.428257 -0.011504 -0.210532 -0.109490
0.000440 0.162067 0.410203 0.062871 0.116724
0.202150 -0.338321 0.178965 0.108825 0.232298
-0.189173 0.182283 0.069472 0.065023 0.010763
0.162868 -0.170670 0.219083 0.131852 0.409497
-0.017831 -0.176501 -0.342884 0.020289 -0.108251
0.201042 0.248971 -0.225221 0.136073 -0.093009
-0.308339 -0.258186 -0.128019 0.181396 -0.335934
-0.290473 -0.049603 -0.164770 -0.188560 0.253401
-0.177469 0.108130 -0.071255 0.251842 0.141418
-0.316035 -0.019066 -0.032073 0.183299 0.230295
0.180283 -0.197718 -0.126404 0.015285 0.092205
-0.343941 -0.130105 0.179096 -0.101024 0.129886
-0.194537 -0.156314 0.192910 -0.224652 -0.065244
0.347763 0.078897 0.104681 -0.021893 -0.365802
-0.210643 -0.040835 -0.029149 0.202007 -0.388434
0.028877 -0.195729 -0.039440 -0.068696 -0.449488
-0.113212 0.097788 0.123046 0.259652 0.033255
-0.200489 -0.136742 -0.101375 -0.366270 0.039139
0.099551 -0.169780 0.091552 0.087867 -0.373951
-0.095992 0.107233 -0.287702 0.191593 -0.055789
-0.124870 0.209383 0.117201 -0.236494 0.230804
0.156225 0.374471 0.278780 -0.058690 -0.132429
0.197729 0.162161 -0.301425 -0.218980 0.193617
0.184018 -0.181905 -0.271747 -0.071641 -0.364870
