,exp_trial_num,staircase_id,staircase_trial_num,distance,current_step_size,clicked_face_id,click_position,click_time_experiment,click_time_current_trial,faces_shown,was_correct,next_direction
499,38,10-17,38,380,20,10-17-680_0_image,[ 0.07013889 -0.14027778],2572.6633933999983,2.718387300003087,"10-17-680_1_image,10-17-680_0_image,10-17-300_0_image",False,up
500,38,1-28,38,200,20,1-28-39_0_image,[-0.34027778 -0.14166667],2577.5322876999853,4.003888499981258,"1-28-39_0_image,1-28-239_0_image,1-28-239_1_image",True,up
501,38,14-27,38,281,20,14-27-571_0_image,[-0.32361111 -0.14513889],2580.729182299983,2.3402101999963634,"14-27-571_0_image,14-27-290_0_image,14-27-290_1_image",True,down
502,38,13-20,38,220,20,13-20-944_0_image,[-0.33125    -0.13194444],2584.8840850999986,3.293644699995639,"13-20-944_0_image,13-20-724_0_image,13-20-724_1_image",True,down
503,38,13-30,38,421,20,13-30-590_0_image,[ 0.37222222 -0.12847222],2587.3944504999963,1.6378913999942597,"13-30-169_0_image,13-30-169_1_image,13-30-590_0_image",True,up
504,38,14-16,38,321,40,14-16-673_0_image,[-0.35       -0.12083333],2592.01198879999,3.7624847999832127,"14-16-673_0_image,14-16-994_0_image,14-16-994_1_image",True,down
505,38,5-17,38,381,20,5-17-501_0_image,[-0.35347222 -0.13472222],2594.854089599976,1.882663299998967,"5-17-501_0_image,5-17-120_0_image,5-17-120_1_image",True,down
506,38,2-10,38,461,20,2-10-285_0_image,[-0.34861111 -0.13055556],2600.5514390000026,4.837122299999464,"2-10-285_0_image,2-10-746_0_image,2-10-746_1_image",True,down
507,39,1-28,39,200,20,1-28-791_0_image,[-0.32638889 -0.13680556],2603.8319457999896,2.41653220000444,"1-28-791_0_image,1-28-591_1_image,1-28-591_0_image",True,down
508,39,15-24,39,140,40,15-24-739_1_image,[ 0.32013889 -0.13055556],2607.9927917000023,3.3067605000105686,"15-24-599_0_image,15-24-739_0_image,15-24-739_1_image",False,up
509,39,14-16,39,321,40,14-16-731_0_image,[-0.36388889 -0.11388889],2610.5907887999783,1.731375500006834,"14-16-731_0_image,14-16-410_1_image,14-16-410_0_image",True,down
510,39,22-23,39,161,20,22-23-526_0_image,[ 0.31458333 -0.12777778],2617.8439101999975,6.380507199995918,"22-23-365_1_image,22-23-365_0_image,22-23-526_0_image",True,down
511,39,10-17,39,400,20,10-17-236_0_image,[-0.36041667 -0.13472222],2620.3877858999767,1.6954138000146486,"10-17-236_0_image,10-17-636_1_image,10-17-636_0_image",True,up
512,39,3-5,39,421,20,3-5-731_0_image,[-0.0875 -0.1   ],2625.3677712999925,4.092645099997753,"3-5-310_0_image,3-5-731_0_image,3-5-310_1_image",True,up
513,39,5-17,39,381,20,5-17-773_0_image,[-0.09027778 -0.09930556],2629.2578595999803,3.031202799989842,"5-17-392_0_image,5-17-773_0_image,5-17-392_1_image",True,down
514,39,2-10,39,461,20,2-10-811_1_image,[-0.09027778 -0.09930556],2638.3907448999817,8.261724299984053,"2-10-811_0_image,2-10-811_1_image,2-10-350_0_image",False,up
515,39,14-27,39,261,20,14-27-833_0_image,[ 0.43194444 -0.11388889],2641.0965317999944,1.828976299992064,"14-27-572_1_image,14-27-572_0_image,14-27-833_0_image",True,down
516,39,13-20,39,200,20,13-20-414_0_image,[ 0.43194444 -0.10625   ],2644.273863999988,2.3330775999929756,"13-20-214_0_image,13-20-214_1_image,13-20-414_0_image",True,down
517,39,13-30,39,421,20,13-30-526_1_image,[ 0.14722222 -0.11597222],2650.133307399985,5.005185899994103,"13-30-526_0_image,13-30-526_1_image,13-30-105_0_image",False,up
