,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,81.37041850000242,[ 0.14236111 -0.26875   ],13,2,"[6, 17, 13, 19]",7,-1
1,0,82.36989270000049,[-0.49236111 -0.32013889],6,0,"[6, 17, 13, 19]",7,-1
2,0,82.86597299999994,[-0.21805556 -0.31944444],17,0,"[6, 17, 13, 19]",7,-1
3,0,83.47403510000004,[ 0.44861111 -0.26805556],19,0,"[6, 17, 13, 19]",7,-1
4,1,88.73804759999985,[ 0.17152778 -0.30069444],23,2,"[26, 20, 23, 11]",6,-1
5,1,89.44227090000277,[-0.44791667 -0.29236111],26,0,"[26, 20, 23, 11]",6,-1
6,1,90.41791039999953,[ 0.45555556 -0.28125   ],11,1,"[26, 20, 23, 11]",6,-1
7,1,91.28992240000298,[-0.09027778 -0.29027778],20,0,"[26, 20, 23, 11]",6,-1
8,2,95.9378601999997,[-0.19791667 -0.30416667],10,1,"[7, 10, 3, 29]",11,-1
9,2,97.92226950000259,[ 0.475      -0.29027778],29,2,"[7, 10, 3, 29]",11,-1
10,2,98.97822860000088,[ 0.12777778 -0.30625   ],3,1,"[7, 10, 3, 29]",11,-1
11,2,99.37096089999977,[-0.43263889 -0.31805556],7,0,"[7, 10, 3, 29]",11,-1
12,3,104.76195279999956,[-0.18611111 -0.29444444],17,1,"[0, 17, 25, 11]",14,-1
13,3,105.56986330000291,[-0.46111111 -0.30069444],0,0,"[0, 17, 25, 11]",14,-1
14,3,106.33786680000048,[ 0.24513889 -0.31527778],25,0,"[0, 17, 25, 11]",14,-1
15,3,106.64204400000017,[ 0.55625    -0.30902778],11,0,"[0, 17, 25, 11]",14,-1
16,4,114.55394030000025,[-0.15833333 -0.29097222],27,1,"[5, 27, 20, 29]",16,-1
17,4,115.44210960000055,[ 0.23125    -0.29513889],20,1,"[5, 27, 20, 29]",16,-1
18,4,115.80978220000179,[ 0.46597222 -0.28819444],29,1,"[5, 27, 20, 29]",16,-1
19,4,116.31377240000074,[-0.48541667 -0.27986111],5,0,"[5, 27, 20, 29]",16,-1
20,5,120.25781970000025,[ 0.51180556 -0.29236111],1,3,"[15, 27, 9, 1]",13,-1
21,5,120.91415229999984,[ 0.20347222 -0.30069444],9,2,"[15, 27, 9, 1]",13,-1
22,5,122.02592560000267,[-0.49166667 -0.28611111],15,0,"[15, 27, 9, 1]",13,-1
23,5,122.31420980000257,[-0.18402778 -0.27152778],27,0,"[15, 27, 9, 1]",13,-1
24,6,125.8258437000004,[ 0.52013889 -0.28333333],8,3,"[13, 29, 10, 8]",18,-1
25,6,130.92194540000128,[-0.47222222 -0.32430556],13,0,"[13, 29, 10, 8]",18,-1
26,6,132.00237910000214,[ 0.16597222 -0.30069444],10,1,"[13, 29, 10, 8]",18,-1
27,6,132.29777260000265,[-0.14513889 -0.30972222],29,0,"[13, 29, 10, 8]",18,-1
28,7,138.89821350000057,[ 0.54513889 -0.27430556],11,3,"[20, 9, 12, 11]",4,-1
29,7,139.785847500003,[-0.08541667 -0.30555556],9,1,"[20, 9, 12, 11]",4,-1
30,7,140.697788700003,[ 0.18680556 -0.27777778],12,1,"[20, 9, 12, 11]",4,-1
31,7,141.18576120000216,[-0.50486111 -0.22430556],20,0,"[20, 9, 12, 11]",4,-1
32,8,147.77796130000206,[ 0.47708333 -0.3       ],18,3,"[0, 14, 20, 18]",24,-1
33,8,148.69782990000022,[-0.13472222 -0.30972222],14,1,"[0, 14, 20, 18]",24,-1
34,8,149.49014650000026,[-0.50972222 -0.29444444],0,0,"[0, 14, 20, 18]",24,-1
35,8,149.92179340000075,[ 0.1125  -0.26875],20,0,"[0, 14, 20, 18]",24,-1
36,9,154.0983266000003,[-0.46805556 -0.28472222],16,0,"[16, 21, 8, 12]",9,-1
37,9,154.77018540000063,[ 0.19444444 -0.28888889],8,1,"[16, 21, 8, 12]",9,-1
38,9,155.28979470000195,[ 0.49583333 -0.27013889],12,1,"[16, 21, 8, 12]",9,-1
39,9,155.69805590000033,[-0.05763889 -0.27847222],21,0,"[16, 21, 8, 12]",9,-1
40,10,161.3059675000004,[-0.45069444 -0.32916667],13,0,"[13, 27, 22, 28]",26,-1
41,10,162.5620235000024,[ 0.20416667 -0.30694444],22,1,"[13, 27, 22, 28]",26,-1
42,10,163.01798730000155,[ 0.49861111 -0.29861111],28,1,"[13, 27, 22, 28]",26,-1
