,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,6.758828178
1,30,5,5,1,5.934146775
2,30,5,5,2,5.167445198
3,30,5,5,3,4.733246303
4,30,5,5,4,4.594684515
5,30,5,5,5,3.5878019
6,30,5,5,6,3.310225229
7,30,5,5,7,2.95915119
8,30,5,5,8,2.613286387
9,30,5,5,9,2.544967318
