,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
62,15,229.81474410000374,[-0.45555556 -0.22361112],29,0,"[29, 17, 0, 10]",15,-1
63,15,230.56264519999968,[ 0.5277778  -0.27638888],10,0,"[29, 17, 0, 10]",15,-1
64,16,234.67169410000497,[-0.16180556 -0.23680556],9,1,"[20, 9, 7, 25]",16,-1
65,16,235.248694599999,[ 0.14513889 -0.22777778],7,1,"[20, 9, 7, 25]",16,-1
66,16,235.93874860000506,[ 0.45416668 -0.25277779],25,1,"[20, 9, 7, 25]",16,-1
67,16,236.582831000007,[-0.42916667 -0.26458332],20,0,"[20, 9, 7, 25]",16,-1
68,17,246.02556029999687,[-0.49722221 -0.25138888],15,0,"[15, 14, 1, 7]",17,-1
69,17,249.51172080000106,[-0.12916666 -0.2048611 ],14,0,"[15, 14, 1, 7]",17,-1
70,17,250.655562800006,[ 0.50416666 -0.25972223],7,1,"[15, 14, 1, 7]",17,-1
71,17,251.13251090000267,[ 0.23819445 -0.25486112],1,0,"[15, 14, 1, 7]",17,-1
72,18,259.31459700000414,[ 0.1125     -0.24791667],24,2,"[20, 26, 24, 10]",18,-1
73,18,260.1393906000012,[ 0.48055556 -0.26458332],10,2,"[20, 26, 24, 10]",18,-1
74,18,260.96434910000244,[-0.44722223 -0.24930556],20,0,"[20, 26, 24, 10]",18,-1
75,18,261.3733748000086,[-0.25      -0.2361111],26,0,"[20, 26, 24, 10]",18,-1
76,19,265.15449010000157,[ 0.50069445 -0.24236111],29,3,"[6, 20, 17, 29]",19,-1
77,19,266.0664458000101,[-0.18402778 -0.17152777],20,1,"[6, 20, 17, 29]",19,-1
78,19,267.656375999999,[ 0.11111111 -0.2611111 ],17,1,"[6, 20, 17, 29]",19,-1
79,19,268.186277300003,[-0.49444443 -0.22152779],6,0,"[6, 20, 17, 29]",19,-1
80,20,272.8293410000042,[ 0.19791667 -0.27083334],6,2,"[5, 13, 6, 3]",20,-1
81,20,276.20127140000113,[-0.14444445 -0.24305555],13,1,"[5, 13, 6, 3]",20,-1
82,20,276.85621600000013,[ 0.4763889  -0.30694443],3,1,"[5, 13, 6, 3]",20,-1
83,20,277.51620510000794,[-0.46458334 -0.21180555],5,0,"[5, 13, 6, 3]",20,-1
84,21,284.65221230000316,[-0.22291666 -0.24027778],6,1,"[7, 6, 4, 3]",21,-1
85,21,286.8771970000089,[ 0.18888889 -0.3201389 ],4,1,"[7, 6, 4, 3]",21,-1
86,21,287.3071232000075,[ 0.40069443 -0.33055556],3,1,"[7, 6, 4, 3]",21,-1
87,21,287.86704559999635,[-0.5034722  -0.20277777],7,0,"[7, 6, 4, 3]",21,-1
88,22,294.7900859000074,[ 0.49722221 -0.2777778 ],23,3,"[24, 2, 27, 23]",22,-1
89,22,299.46298379999644,[ 0.18194444 -0.2611111 ],27,2,"[24, 2, 27, 23]",22,-1
90,22,300.08697430000757,[-0.46944445 -0.25486112],24,0,"[24, 2, 27, 23]",22,-1
91,22,300.4540050000069,[-0.2534722  -0.25972223],2,0,"[24, 2, 27, 23]",22,-1
92,23,307.8449600000022,[-0.46875    -0.27222222],14,0,"[14, 25, 9, 29]",23,-1
93,23,315.2967447999981,[ 0.54583335 -0.29305556],29,2,"[14, 25, 9, 29]",23,-1
94,23,315.9059011000063,[-0.05416667 -0.31388888],25,0,"[14, 25, 9, 29]",23,-1
95,23,316.2817168000038,[ 0.11736111 -0.29722223],9,0,"[14, 25, 9, 29]",23,-1
96,24,325.6207618000044,[-0.19861111 -0.275     ],11,1,"[14, 11, 15, 17]",24,-1
97,24,325.99879769999825,[-0.46458334 -0.29652777],14,0,"[14, 11, 15, 17]",24,-1
98,24,327.6736697000015,[ 0.50555557 -0.24097222],17,1,"[14, 11, 15, 17]",24,-1
99,24,328.10757659999945,[ 0.28402779 -0.27916667],15,0,"[14, 11, 15, 17]",24,-1
100,25,336.1166125000018,[ 0.14513889 -0.25138888],8,2,"[9, 17, 8, 16]",25,-1
101,25,339.0304291000066,[-0.11875   -0.2534722],17,1,"[9, 17, 8, 16]",25,-1
102,25,340.5774572000082,[ 0.48125    -0.21805556],16,1,"[9, 17, 8, 16]",25,-1
103,25,341.0533839999989,[-0.44583333 -0.22986111],9,0,"[9, 17, 8, 16]",25,-1
104,26,348.2524185000075,[-0.13333334 -0.33819443],17,1,"[29, 17, 2, 3]",26,-1
105,26,349.2574365000037,[ 0.51458335 -0.30208334],3,2,"[29, 17, 2, 3]",26,-1
106,26,351.5355077999993,[ 0.14652778 -0.27916667],2,1,"[29, 17, 2, 3]",26,-1
107,26,351.96235480000905,[-0.51666665 -0.20069444],29,0,"[29, 17, 2, 3]",26,-1
108,27,360.21039259999816,[-0.17986111 -0.23958333],5,1,"[15, 5, 20, 29]",27,-1
109,27,360.7442885000055,[-0.49166667 -0.20277777],15,0,"[15, 5, 20, 29]",27,-1
110,27,363.9651160000067,[ 0.50277776 -0.28402779],29,1,"[15, 5, 20, 29]",27,-1
111,27,364.2471837000048,[ 0.22708334 -0.27430555],20,0,"[15, 5, 20, 29]",27,-1
112,28,372.90516890000436,[-0.5451389  -0.20902778],27,0,"[27, 17, 14, 25]",28,-1
113,28,376.92628929999773,[ 0.5083333  -0.27708334],25,2,"[27, 17, 14, 25]",28,-1
114,28,377.2860673999967,[ 0.25833333 -0.26875   ],14,1,"[27, 17, 14, 25]",28,-1
115,28,377.64060379999864,[-0.04652778 -0.2326389 ],17,0,"[27, 17, 14, 25]",28,-1
116,29,390.0968620000058,[-0.5138889 -0.23125  ],22,0,"[22, 24, 6, 23]",29,-1
117,29,393.16875330000767,[-0.15625   -0.2576389],24,0,"[22, 24, 6, 23]",29,-1
118,29,393.5339377000055,[ 0.05069444 -0.24791667],6,0,"[22, 24, 6, 23]",29,-1
119,29,393.8908802000078,[ 0.50277776 -0.18472221],23,0,"[22, 24, 6, 23]",29,-1
120,30,403.3159863000037,[-0.4965278  -0.28055555],4,0,"[4, 5, 26, 29]",0,0
121,30,411.4318434000015,[ 0.1388889  -0.22708334],26,1,"[4, 5, 26, 29]",0,0
122,30,413.1586307999969,[ 0.46041667 -0.18680556],29,1,"[4, 5, 26, 29]",0,0
123,30,413.9294014000043,[-0.12986112 -0.16388889],5,0,"[4, 5, 26, 29]",0,0
124,31,421.43752629999653,[ 0.16458334 -0.225     ],28,2,"[12, 21, 28, 29]",1,0
125,31,425.99048870000115,[ 0.48541668 -0.2611111 ],29,2,"[12, 21, 28, 29]",1,0
126,31,426.66530890000286,[-0.11041667 -0.23680556],21,1,"[12, 21, 28, 29]",1,0
127,31,427.39940390000993,[-0.51944447 -0.17638889],12,0,"[12, 21, 28, 29]",1,0
128,32,439.2823747000075,[ 0.16527778 -0.2951389 ],19,2,"[7, 10, 19, 21]",2,0
129,32,447.0551979000011,[ 0.46041667 -0.3715278 ],21,2,"[7, 10, 19, 21]",2,0
130,32,447.6370619000081,[-0.5048611  -0.31805557],7,0,"[7, 10, 19, 21]",2,0
131,32,447.98917240000446,[-0.23194444 -0.3361111 ],10,0,"[7, 10, 19, 21]",2,0
132,33,455.29006490000756,[ 0.17569445 -0.26875   ],17,2,"[0, 9, 17, 19]",3,0
133,33,455.67801980000513,[-0.15625    -0.26805556],9,1,"[0, 9, 17, 19]",3,0
134,33,456.1460580999992,[ 0.40347221 -0.2777778 ],19,1,"[0, 9, 17, 19]",3,0
135,33,456.7059833000094,[-0.4875     -0.23888889],0,0,"[0, 9, 17, 19]",3,0
136,34,464.4181780000072,[ 0.16319445 -0.2673611 ],23,2,"[0, 17, 23, 26]",4,0
137,34,466.25995140000305,[ 0.5173611  -0.26666668],26,2,"[0, 17, 23, 26]",4,0
138,34,466.7749065000098,[-0.12847222 -0.25972223],17,1,"[0, 17, 23, 26]",4,0
139,34,467.1260001000046,[-0.5152778  -0.25416666],0,0,"[0, 17, 23, 26]",4,0
140,35,480.5259034000046,[ 0.48680556 -0.25208333],26,3,"[15, 16, 22, 26]",5,0
