,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,8.834311045740497
1,30,5,5,1,8.380975392462044
2,30,5,5,2,7.166621212630798
3,30,5,5,3,6.03688250478989
4,30,5,5,4,5.951955131764694
5,30,5,5,5,4.204220152451057
6,30,5,5,6,4.422313184507291
7,30,5,5,7,2.909866182360182
8,30,5,5,8,1.274258633691069
