,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,7.092632877
1,30,5,5,1,5.856070076
2,30,5,5,2,5.005175248
3,30,5,5,3,4.78432908
4,30,5,5,4,4.382998074
5,30,5,5,5,4.095225537
6,30,5,5,6,3.362021793
7,30,5,5,7,3.288620065
8,30,5,5,8,3.500163037
9,30,5,5,9,2.872430147
