0.000000 0.352094 0.725052 0.719739 0.645630 0.753384 0.331894 0.450808 0.494744 0.438886 0.783260 0.521528 0.672744 0.542394 0.423337 0.590265 0.699760 0.625540 0.719897 0.587206 0.600324 0.629378 0.385676 0.488234 0.553908 0.682412 0.399706 0.784433 0.473341 0.632484
0.352094 0.000000 0.749347 0.794969 0.663248 0.803862 0.609237 0.728684 0.518860 0.364830 0.888641 0.613367 0.788938 0.767480 0.704906 0.517996 0.768466 0.716500 0.654820 0.487162 0.661021 0.812539 0.697895 0.677141 0.625396 0.700244 0.581433 0.782044 0.462845 0.654762
0.725052 0.749347 0.000000 0.410535 0.866231 0.887914 0.812732 0.620087 0.549094 0.547503 0.495444 0.447682 0.459293 0.644923 0.750509 0.649950 0.605030 0.520490 0.299976 0.406555 0.306861 0.499130 0.786744 0.656534 0.604943 0.647001 0.916804 0.503770 0.667864 0.604191
0.719739 0.794969 0.410535 0.000000 0.978039 1.099321 0.725200 0.662341 0.513659 0.614655 0.562406 0.563243 0.565485 0.745323 0.793428 0.661923 0.393829 0.511188 0.424539 0.500075 0.546419 0.705982 0.786634 0.706258 0.644620 0.662310 0.904997 0.414987 0.626684 0.802123
0.645630 0.663248 0.866231 0.978039 0.000000 0.357192 0.588212 0.849459 0.504367 0.575268 0.898143 0.718971 0.561350 0.581997 0.543739 0.487871 0.910777 0.587287 0.798802 0.665770 0.759053 0.680309 0.624802 0.563498 0.590220 0.430263 0.493140 0.739337 0.464690 0.477734
0.753384 0.803862 0.887914 1.099321 0.357192 0.000000 0.758189 0.867945 0.695360 0.666713 0.850756 0.687653 0.646084 0.629433 0.570110 0.761288 1.012790 0.682838 0.872959 0.770829 0.708357 0.582437 0.655959 0.546851 0.615168 0.627932 0.597405 0.916469 0.686223 0.384726
0.331894 0.609237 0.812732 0.725200 0.588212 0.758189 0.000000 0.501099 0.464308 0.578783 0.798420 0.620989 0.581360 0.452374 0.302652 0.583554 0.686929 0.547738 0.807749 0.697198 0.714790 0.631218 0.270151 0.448044 0.566646 0.587268 0.337358 0.726343 0.454592 0.685822
0.450808 0.728684 0.620087 0.662341 0.849459 0.867945 0.501099 0.000000 0.682082 0.699609 0.736682 0.576872 0.598636 0.375716 0.417059 0.782695 0.793307 0.693118 0.786665 0.750142 0.571771 0.448653 0.413703 0.572100 0.714147 0.827098 0.698317 0.844691 0.746963 0.753388
0.494744 0.518860 0.549094 0.513659 0.504367 0.695360 0.464308 0.682082 0.000000 0.286881 0.581546 0.438168 0.397367 0.579406 0.542266 0.320170 0.441544 0.246996 0.412605 0.299595 0.498266 0.597471 0.563520 0.427944 0.335172 0.235140 0.512441 0.334088 0.138904 0.459257
0.438886 0.364830 0.547503 0.614655 0.575268 0.666713 0.578783 0.699609 0.286881 0.000000 0.562542 0.325382 0.568920 0.684537 0.604674 0.475425 0.495266 0.405870 0.388984 0.223694 0.400393 0.612268 0.606786 0.432888 0.294175 0.447597 0.514569 0.538888 0.280370 0.375973
