,exp_trial_num,staircase_id,staircase_trial_num,distance,current_step_size,clicked_face_id,click_position,click_time_experiment,click_time_current_trial,faces_shown,was_correct,next_direction
0,0,6-14,0,500,400,6-14-440_0_image,[-0.40138889  0.01805556],2.5285463000182062,2.0463487999513745,"6-14-440_0_image,6-14-940_1_image,6-14-940_0_image",True,down
1,0,7-28,0,500,400,7-28-633_0_image,[ 0.35763889 -0.05625   ],6.112730700057,2.442637800006196,"7-28-133_0_image,7-28-133_1_image,7-28-633_0_image",True,down
2,0,3-4,0,500,400,3-4-685_0_image,[ 0.44930556 -0.06319444],9.624563599936664,2.402179599972442,"3-4-185_0_image,3-4-185_1_image,3-4-685_0_image",True,down
3,0,20-27,0,500,400,20-27-741_0_image,[ 0.08194444 -0.07638889],13.200570299988613,2.4753632000647485,"20-27-241_0_image,20-27-741_0_image,20-27-741_1_image",False,up
4,0,5-30,0,500,400,5-30-360_0_image,[ 0.49444444 -0.08194444],18.560595399932936,4.2491589998826385,"5-30-860_0_image,5-30-860_1_image,5-30-360_0_image",True,down
5,0,3-13,0,500,400,3-13-46_0_image,[ 0.10833333 -0.08611111],21.62457640003413,1.9589058998972178,"3-13-546_1_image,3-13-46_0_image,3-13-546_0_image",True,down
6,0,4-7,0,500,400,4-7-235_0_image,[ 0.075      -0.08472222],25.008707399945706,2.2739203998353332,"4-7-735_0_image,4-7-235_0_image,4-7-735_1_image",True,down
7,0,19-20,0,500,400,19-20-973_0_image,[ 0.07569444 -0.07847222],27.960653899936005,1.8377885001245886,"19-20-473_0_image,19-20-973_0_image,19-20-473_1_image",True,down
8,0,9-14,0,500,400,9-14-794_0_image,[-0.38680556 -0.07569444],31.328710700152442,2.272211099974811,"9-14-794_0_image,9-14-294_0_image,9-14-294_1_image",True,down
9,0,15-19,0,500,400,15-19-730_0_image,[-0.37708333 -0.08402778],35.89670610008761,3.4707868001423776,"15-19-730_0_image,15-19-230_1_image,15-19-230_0_image",True,down
10,0,11-22,0,500,400,11-22-1_0_image,[-0.34305556 -0.07291667],39.78462649998255,2.7884347001090646,"11-22-1_0_image,11-22-501_1_image,11-22-501_0_image",True,down
11,0,14-30,0,500,400,14-30-268_0_image,[-0.05972222 -0.08055556],43.36060960008763,2.477994600078091,"14-30-768_0_image,14-30-268_0_image,14-30-768_1_image",True,down
12,1,3-4,1,100,400,3-4-158_0_image,[-0.05972222 -0.08055556],46.01732180011459,1.5318082000594586,"3-4-158_1_image,3-4-158_0_image,3-4-58_0_image",False,up
13,1,14-30,1,100,400,14-30-116_0_image,[ 0.05069444 -0.07569444],50.84864480001852,3.7264932999387383,"14-30-216_1_image,14-30-116_0_image,14-30-216_0_image",True,down
14,1,11-22,1,100,400,11-22-351_0_image,[ 0.28333333 -0.07569444],55.88078430015594,3.922626100014895,"11-22-351_1_image,11-22-251_0_image,11-22-351_0_image",False,up
15,1,9-14,1,100,400,9-14-361_0_image,[ 0.09305556 -0.09722222],60.320762699935585,3.3419371999334544,"9-14-261_0_image,9-14-361_0_image,9-14-361_1_image",False,up
16,1,6-14,1,100,400,6-14-564_1_image,[ 0.08958333 -0.09791667],63.832787699997425,2.4004181001801044,"6-14-564_0_image,6-14-564_1_image,6-14-664_0_image",False,up
17,1,4-7,1,100,400,4-7-252_0_image,[ 0.08958333 -0.09791667],68.66878700000234,3.733602700056508,"4-7-152_1_image,4-7-252_0_image,4-7-152_0_image",True,down
18,1,19-20,1,100,400,19-20-21_0_image,[ 0.34722222 -0.07361111],73.85658430005424,4.08409020002,"19-20-121_0_image,19-20-121_1_image,19-20-21_0_image",True,down
19,1,15-19,1,100,400,15-19-593_0_image,[-0.10833333 -0.07430556],79.56853289995342,4.606748000020161,"15-19-693_0_image,15-19-593_0_image,15-19-593_1_image",False,up
20,1,5-30,1,100,400,5-30-601_0_image,[ 0.35347222 -0.05      ],84.94464970007539,4.280199200147763,"5-30-601_1_image,5-30-501_0_image,5-30-601_0_image",False,up
21,1,20-27,1,900,400,20-27-60_0_image,[-0.42222222 -0.06388889],88.84049970004708,2.7884752999525517,"20-27-60_0_image,20-27-960_1_image,20-27-960_0_image",True,down
22,1,7-28,1,100,400,7-28-428_0_image,[ 0.14236111 -0.09791667],92.88055450003594,2.942053300095722,"7-28-328_0_image,7-28-428_0_image,7-28-428_1_image",False,up
23,1,3-13,1,100,400,3-13-752_1_image,[ 0.35694444 -0.09027778],97.65662420005538,3.664925100049004,"3-13-752_0_image,3-13-852_0_image,3-13-752_1_image",False,up
24,2,4-7,2,1,400,4-7-534_0_image,[ 0.08541667 -0.08541667],103.76866489998065,4.989745799917728,"4-7-533_0_image,4-7-534_0_image,4-7-533_1_image",True,down
25,2,7-28,2,420,320,7-28-640_0_image,[-0.4125     -0.07638889],108.88851660001092,4.019779100082815,"7-28-640_0_image,7-28-640_1_image,7-28-220_0_image",False,up
26,2,11-22,2,420,320,11-22-720_0_image,[-0.3875  -0.06875],113.3365065001417,3.348667100071907,"11-22-720_0_image,11-22-300_1_image,11-22-300_0_image",True,up
27,2,9-14,2,420,320,9-14-347_0_image,[-0.43402778 -0.05      ],118.30464710015804,3.8632694999687374,"9-14-347_0_image,9-14-767_1_image,9-14-767_0_image",True,up
28,2,20-27,2,580,320,20-27-233_0_image,[ 0.00555556 -0.04513889],121.68857040000148,2.2765813001897186,"20-27-813_1_image,20-27-233_0_image,20-27-813_0_image",True,down
29,2,5-30,2,420,320,5-30-351_0_image,[-0.32777778 -0.08541667],126.80854530003853,4.0105045000091195,"5-30-351_0_image,5-30-771_1_image,5-30-771_0_image",True,up
30,2,3-4,2,420,320,3-4-175_0_image,[ 0.05347222 -0.07013889],132.81665010005236,4.897821499966085,"3-4-595_0_image,3-4-175_0_image,3-4-595_1_image",True,up
31,2,6-14,2,420,320,6-14-236_0_image,[ 0.05763889 -0.06944444],136.89003350003622,2.964755999855697,"6-14-656_1_image,6-14-236_0_image,6-14-656_0_image",True,up
32,2,19-20,2,1,400,19-20-402_0_image,[ 0.06458333 -0.06597222],142.9614157001488,4.967766199959442,"19-20-403_0_image,19-20-402_0_image,19-20-402_1_image",False,up
33,2,14-30,2,1,400,14-30-325_0_image,[ 0.00833333 -0.08333333],147.32053899997845,3.27221139986068,"14-30-326_0_image,14-30-325_0_image,14-30-325_1_image",False,up
34,2,15-19,2,420,320,15-19-484_0_image,[ 0.09513889 -0.09375   ],152.328610900091,3.9100870999973267,"15-19-64_0_image,15-19-484_0_image,15-19-64_1_image",True,up
35,2,3-13,2,420,320,3-13-661_0_image,[ 0.08125    -0.04861111],156.47275010007434,3.0335357000585645,"3-13-241_1_image,3-13-661_0_image,3-13-241_0_image",True,up
36,3,14-30,3,321,320,14-30-832_0_image,[ 0.07222222 -0.03819444],161.04069750010967,3.431436900049448,"14-30-511_1_image,14-30-832_0_image,14-30-511_0_image",True,up
37,3,6-14,3,420,320,6-14-32_0_image,[-0.34444444 -0.04236111],167.1366801999975,4.989160500001162,"6-14-32_0_image,6-14-452_0_image,6-14-452_1_image",True,down
38,3,4-7,3,1,400,4-7-752_0_image,[-0.00763889 -0.05138889],172.92058250005357,4.686189699918032,"4-7-751_0_image,4-7-752_0_image,4-7-752_1_image",False,up
39,3,15-19,3,420,320,15-19-109_0_image,[-0.4375     -0.05694444],179.0725619001314,5.066942499950528,"15-19-109_0_image,15-19-529_1_image,15-19-529_0_image",True,down
40,3,5-30,3,420,320,5-30-866_0_image,[ 0.         -0.05138889],183.90468119992875,3.7274107998237014,"5-30-446_1_image,5-30-866_0_image,5-30-446_0_image",True,down
41,3,11-22,3,420,320,11-22-163_0_image,[ 0.49861111 -0.10208333],190.2645509999711,5.250049900030717,"11-22-583_1_image,11-22-583_0_image,11-22-163_0_image",True,down
42,3,3-13,3,420,320,3-13-534_0_image,[ 0.47291667 -0.09305556],194.70475169993006,3.3352066001389176,"3-13-954_0_image,3-13-954_1_image,3-13-534_0_image",True,down
43,3,3-4,3,420,320,3-4-808_0_image,[ 0.40555556 -0.08888889],201.33661790005863,5.528854600153863,"3-4-388_0_image,3-4-388_1_image,3-4-808_0_image",True,down
44,3,20-27,3,580,320,20-27-82_0_image,[ 0.41111111 -0.1       ],206.3685920999851,3.92349910014309,"20-27-662_0_image,20-27-662_1_image,20-27-82_0_image",True,down
45,3,9-14,3,420,320,9-14-896_0_image,[ 0.10277778 -0.10486111],210.30474509997293,2.8557332998607308,"9-14-476_1_image,9-14-896_0_image,9-14-476_0_image",True,down
46,3,19-20,3,321,320,19-20-366_0_image,[ 0.10625    -0.10069444],215.04864039993845,3.6631480001378804,"19-20-687_1_image,19-20-366_0_image,19-20-687_0_image",True,up
47,3,7-28,3,740,320,7-28-992_0_image,[ 0.43611111 -0.10138889],221.34455949999392,5.188579200068489,"7-28-252_0_image,7-28-252_1_image,7-28-992_0_image",True,up
48,4,15-19,4,180,240,15-19-872_0_image,[ 0.47152778 -0.08055556],226.33667089999653,3.8757036000024527,"15-19-692_1_image,15-19-692_0_image,15-19-872_0_image",True,down
49,4,14-30,4,321,320,14-30-388_0_image,[ 0.48263889 -0.075     ],229.80854979995638,2.358207599958405,"14-30-67_0_image,14-30-67_1_image,14-30-388_0_image",True,down
50,4,3-4,4,180,240,3-4-639_1_image,[ 0.57638889 -0.05138889],235.3606261999812,4.4428791999816895,"3-4-819_0_image,3-4-639_0_image,3-4-639_1_image",False,up
51,4,6-14,4,180,240,6-14-272_0_image,[-0.39513889 -0.10138889],243.0967476000078,6.641213100170717,"6-14-272_0_image,6-14-92_0_image,6-14-92_1_image",True,down
52,4,5-30,4,180,240,5-30-663_0_image,[-0.29027778 -0.09027778],248.12066080002114,3.9256458999589086,"5-30-663_0_image,5-30-843_1_image,5-30-843_0_image",True,down
53,4,3-13,4,180,240,3-13-541_0_image,[ 0.05763889 -0.02152778],253.01665670005605,3.8009143001399934,"3-13-721_1_image,3-13-541_0_image,3-13-721_0_image",True,down
54,4,20-27,4,260,320,20-27-787_1_image,[ 0.44722222 -0.00277778],259.00064730015583,4.881027500145137,"20-27-527_0_image,20-27-787_0_image,20-27-787_1_image",False,up
55,4,11-22,4,180,240,11-22-828_0_image,[ 0.42222222 -0.04513889],265.9846835001372,5.875412200111896,"11-22-828_1_image,11-22-648_0_image,11-22-828_0_image",False,up
56,4,4-7,4,321,320,4-7-519_0_image,[-0.28125    -0.05833333],272.24868450011127,5.168725199997425,"4-7-519_0_image,4-7-198_1_image,4-7-198_0_image",True,up
57,4,7-28,4,740,320,7-28-767_0_image,[ 0.55902778 -0.03541667],277.60867840005085,4.257040800061077,"7-28-27_0_image,7-28-27_1_image,7-28-767_0_image",True,down
58,4,9-14,4,180,240,9-14-837_1_image,[-0.00555556 -0.04305556],284.67257940000854,5.966668200213462,"9-14-657_0_image,9-14-837_1_image,9-14-837_0_image",False,up
59,4,19-20,4,321,320,19-20-733_1_image,[-0.05902778 -0.06111111],289.32865889999084,3.567071400117129,"19-20-412_0_image,19-20-733_1_image,19-20-733_0_image",False,up
60,5,11-22,5,380,200,11-22-933_0_image,[ 0.4375     -0.05069444],297.7366045000963,7.271297599887475,"11-22-553_0_image,11-22-553_1_image,11-22-933_0_image",True,up
61,5,9-14,5,380,200,9-14-842_0_image,[-0.37013889 -0.10625   ],304.47270189994015,5.64895120006986,"9-14-842_0_image,9-14-462_0_image,9-14-462_1_image",True,up
62,5,5-30,5,180,240,5-30-465_1_image,[-0.07916667 -0.05972222],311.93669160013087,6.359325000084937,"5-30-285_0_image,5-30-465_1_image,5-30-465_0_image",False,up
63,5,20-27,5,500,240,20-27-351_0_image,[ 0.07291667 -0.07013889],317.5765535000246,4.543246699962765,"20-27-851_0_image,20-27-351_0_image,20-27-851_1_image",True,up
64,5,3-4,5,380,200,3-4-243_0_image,[-0.36458333 -0.1       ],324.1125221999828,5.424723800038919,"3-4-243_0_image,3-4-623_1_image,3-4-623_0_image",True,up
65,5,14-30,5,81,240,14-30-398_1_image,[ 0.39444444 -0.06875   ],331.37661690008827,6.166944100055844,"14-30-317_0_image,14-30-398_0_image,14-30-398_1_image",False,up
66,5,19-20,5,641,320,19-20-156_0_image,[-0.0625     -0.09166667],334.7686397000216,2.3031671000644565,"19-20-797_1_image,19-20-156_0_image,19-20-797_0_image",True,up
67,5,3-13,5,180,240,3-13-779_0_image,[-0.07222222 -0.08819444],341.86467000003904,5.994747099932283,"3-13-779_1_image,3-13-779_0_image,3-13-599_0_image",False,up
68,5,4-7,5,321,320,4-7-194_0_image,[-0.35833333 -0.1       ],349.08055880013853,6.12364639993757,"4-7-194_0_image,4-7-515_0_image,4-7-515_1_image",True,down
69,5,6-14,5,180,240,6-14-804_1_image,[ 0.15625    -0.08819444],357.20862459996715,7.029006999917328,"6-14-804_0_image,6-14-804_1_image,6-14-624_0_image",False,up
70,5,15-19,5,180,240,15-19-536_0_image,[ 0.4375     -0.06597222],363.5366082000546,5.217151999939233,"15-19-356_1_image,15-19-356_0_image,15-19-536_0_image",True,down
71,5,7-28,5,500,240,7-28-42_0_image,[ 0.09236111 -0.09097222],370.53662080015056,5.895426400005817,"7-28-542_0_image,7-28-42_0_image,7-28-42_1_image",False,up
72,6,3-4,6,380,200,3-4-465_0_image,[ 0.31458333 -0.09027778],376.0569976000115,4.376819799887016,"3-4-85_1_image,3-4-85_0_image,3-4-465_0_image",True,down
