,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
62,15,202.83595630000127,[-0.42916667 -0.26527777],6,0,"[6, 2, 17, 26]",15,-1
63,15,203.15166640000098,[-0.22152779 -0.25902778],2,0,"[6, 2, 17, 26]",15,-1
64,16,207.41703320000124,[-0.25277779 -0.26527777],18,1,"[13, 18, 20, 19]",16,-1
65,16,207.98865070000102,[-0.45416668 -0.27291667],13,0,"[13, 18, 20, 19]",16,-1
66,16,209.77365180000015,[ 0.40486112 -0.24097222],19,1,"[13, 18, 20, 19]",16,-1
67,16,210.2206109000017,[ 0.225      -0.24513888],20,0,"[13, 18, 20, 19]",16,-1
68,17,217.39660600000025,[-0.425      -0.27916667],14,0,"[14, 5, 27, 23]",17,-1
69,17,218.49158110000099,[ 0.49861112 -0.25972223],23,2,"[14, 5, 27, 23]",17,-1
70,17,221.0396664,[ 0.06180555 -0.24305555],27,1,"[14, 5, 27, 23]",17,-1
71,17,221.44979330000024,[-0.07361111 -0.23819445],5,0,"[14, 5, 27, 23]",17,-1
72,18,227.16158090000135,[-0.10902778 -0.24236111],27,1,"[22, 27, 5, 9]",18,-1
73,18,227.67842840000048,[-0.46597221 -0.2986111 ],22,0,"[22, 27, 5, 9]",18,-1
74,18,228.67974530000174,[ 0.22361112 -0.25      ],5,0,"[22, 27, 5, 9]",18,-1
75,18,229.10464200000024,[ 0.4965278  -0.24930556],9,0,"[22, 27, 5, 9]",18,-1
76,19,232.59670880000158,[ 0.50277776 -0.25277779],8,3,"[21, 13, 27, 8]",19,-1
77,19,233.12940610000078,[ 0.21805556 -0.24930556],27,2,"[21, 13, 27, 8]",19,-1
78,19,233.57038570000077,[-0.07222223 -0.24930556],13,1,"[21, 13, 27, 8]",19,-1
79,19,234.2166509000017,[-0.41041666 -0.28333333],21,0,"[21, 13, 27, 8]",19,-1
80,20,240.4923415000012,[ 0.12777779 -0.28819445],3,2,"[6, 18, 3, 26]",20,-1
81,20,240.8492098000006,[-0.12638889 -0.29027778],18,1,"[6, 18, 3, 26]",20,-1
82,20,245.1062307000011,[ 0.5104167 -0.30625  ],26,1,"[6, 18, 3, 26]",20,-1
83,20,245.92917240000133,[-0.45555556 -0.31527779],6,0,"[6, 18, 3, 26]",20,-1
84,21,250.11329620000106,[ 0.15972222 -0.28680557],28,2,"[8, 18, 28, 26]",21,-1
85,21,250.96018760000152,[-0.50069445 -0.31875   ],8,0,"[8, 18, 28, 26]",21,-1
86,21,252.95334380000168,[-0.19791667 -0.28680557],18,0,"[8, 18, 28, 26]",21,-1
87,21,253.6765987000017,[ 0.5375     -0.25069445],26,0,"[8, 18, 28, 26]",21,-1
88,22,258.831470000001,[-0.49861112 -0.3159722 ],18,0,"[18, 20, 2, 7]",22,-1
89,22,261.2030641000001,[ 0.2875     -0.27916667],2,1,"[18, 20, 2, 7]",22,-1
90,22,261.5453574000003,[ 0.44722223 -0.27638888],7,1,"[18, 20, 2, 7]",22,-1
91,22,261.9642863000008,[-0.12847222 -0.30763888],20,0,"[18, 20, 2, 7]",22,-1
92,23,271.6856888000002,[ 0.3125     -0.30208334],25,2,"[12, 19, 25, 13]",23,-1
93,23,272.76208880000013,[ 0.5472222  -0.27986112],13,2,"[12, 19, 25, 13]",23,-1
94,23,274.51984430000084,[-0.3236111 -0.31875  ],19,1,"[12, 19, 25, 13]",23,-1
95,23,274.9118345000006,[-0.43819445 -0.33402777],12,0,"[12, 19, 25, 13]",23,-1
96,24,278.06793749999997,[ 0.10138889 -0.30277777],19,2,"[8, 15, 19, 16]",24,-1
97,24,281.8340981000001,[-0.43125    -0.34791666],8,0,"[8, 15, 19, 16]",24,-1
98,24,284.9628381000002,[ 0.4722222  -0.32916668],16,1,"[8, 15, 19, 16]",24,-1
99,24,285.6807292000012,[-0.09027778 -0.34861112],15,0,"[8, 15, 19, 16]",24,-1
100,25,299.0609054000015,[ 0.46805555 -0.3236111 ],15,3,"[11, 28, 16, 15]",25,-1
101,25,301.0169689000013,[-0.11944444 -0.32430556],28,1,"[11, 28, 16, 15]",25,-1
102,25,301.672524900001,[ 0.11736111 -0.3201389 ],16,1,"[11, 28, 16, 15]",25,-1
103,25,302.71682070000134,[-0.40625    -0.34305555],11,0,"[11, 28, 16, 15]",25,-1
104,26,306.94890430000123,[ 0.18125    -0.29097223],7,2,"[9, 20, 7, 19]",26,-1
105,26,309.0347169000015,[-0.5048611 -0.33125  ],9,0,"[9, 20, 7, 19]",26,-1
106,26,310.01243440000144,[ 0.46458334 -0.29930556],19,1,"[9, 20, 7, 19]",26,-1
107,26,310.5604791000005,[-0.15902779 -0.3125    ],20,0,"[9, 20, 7, 19]",26,-1
108,27,312.51781010000013,[ 0.45555556 -0.28541666],9,3,"[28, 14, 12, 9]",27,-1
109,27,313.60555080000086,[-0.4923611  -0.31319445],28,0,"[28, 14, 12, 9]",27,-1
110,27,314.3327567000015,[-0.09930556 -0.30277777],14,0,"[28, 14, 12, 9]",27,-1
111,27,314.7627177000013,[ 0.07569444 -0.3013889 ],12,0,"[28, 14, 12, 9]",27,-1
112,28,316.63684850000027,[-0.10694444 -0.3013889 ],16,1,"[5, 16, 13, 21]",28,-1
113,28,321.7058084,[ 0.075     -0.3013889],13,1,"[5, 16, 13, 21]",28,-1
114,28,324.0905922000002,[ 0.45069444 -0.27152777],21,1,"[5, 16, 13, 21]",28,-1
115,28,324.88134210000135,[-0.45416668 -0.3125    ],5,0,"[5, 16, 13, 21]",28,-1
116,29,327.51757010000074,[-0.44930556 -0.31111112],8,0,"[8, 23, 13, 14]",29,-1
117,29,329.4002973000006,[ 0.5638889  -0.26597223],14,2,"[8, 23, 13, 14]",29,-1
118,29,330.191192100001,[ 0.10138889 -0.27986112],13,1,"[8, 23, 13, 14]",29,-1
119,29,330.5891696000017,[-0.20763889 -0.2777778 ],23,0,"[8, 23, 13, 14]",29,-1
120,30,335.8904113000008,[-0.20833333 -0.2777778 ],15,1,"[6, 15, 17, 20]",0,0
121,30,336.72919770000044,[ 0.18819444 -0.28263888],17,1,"[6, 15, 17, 20]",0,0
122,30,337.5773082000014,[-0.43888888 -0.29722223],6,0,"[6, 15, 17, 20]",0,0
123,30,338.2931094000014,[ 0.4722222  -0.27291667],20,0,"[6, 15, 17, 20]",0,0
124,31,340.53823770000054,[-0.05416667 -0.28680557],9,1,"[3, 9, 12, 25]",1,0
125,31,341.9945133000001,[-0.43611112 -0.33680555],3,0,"[3, 9, 12, 25]",1,0
126,31,342.7761745000007,[ 0.4236111 -0.28125  ],25,1,"[3, 9, 12, 25]",1,0
127,31,343.1040428000015,[ 0.19722222 -0.26875   ],12,0,"[3, 9, 12, 25]",1,0
128,32,345.87271520000104,[-0.46944445 -0.31944445],4,0,"[4, 5, 6, 25]",2,0
129,32,346.8831474000017,[ 0.50555557 -0.27152777],25,2,"[4, 5, 6, 25]",2,0
130,32,347.6430646000008,[-0.11736111 -0.27291667],5,0,"[4, 5, 6, 25]",2,0
131,32,347.99198440000146,[ 0.13402778 -0.26180556],6,0,"[4, 5, 6, 25]",2,0
132,33,351.7075293000016,[ 0.5451389  -0.25069445],25,3,"[1, 13, 14, 25]",3,0
133,33,355.2650403000007,[ 0.0875     -0.23888889],14,2,"[1, 13, 14, 25]",3,0
134,33,355.55511540000043,[-0.13402778 -0.2576389 ],13,1,"[1, 13, 14, 25]",3,0
135,33,355.86489690000053,[-0.50555557 -0.29027778],1,0,"[1, 13, 14, 25]",3,0
136,34,361.70405420000134,[ 0.42708334 -0.23333333],17,3,"[9, 12, 13, 17]",4,0
137,34,366.90813660000094,[-0.25416666 -0.26458332],12,1,"[9, 12, 13, 17]",4,0
138,34,368.2788717000003,[ 0.10902778 -0.22222222],13,1,"[9, 12, 13, 17]",4,0
139,34,369.0689082000008,[-0.38819444 -0.25277779],9,0,"[9, 12, 13, 17]",4,0
140,35,374.22094930000094,[ 0.42847222 -0.26666668],29,3,"[11, 14, 20, 29]",5,0
141,35,375.0539152000001,[-0.12291667 -0.24513888],14,1,"[11, 14, 20, 29]",5,0
142,35,375.8037563000016,[-0.47847223 -0.28263888],11,0,"[11, 14, 20, 29]",5,0
143,35,376.59620820000055,[ 0.11666667 -0.22916667],20,0,"[11, 14, 20, 29]",5,0
144,36,378.6121098000003,[-0.4763889  -0.24583334],8,0,"[8, 22, 23, 26]",6,0
145,36,383.76199630000156,[ 0.46666667 -0.33472222],26,2,"[8, 22, 23, 26]",6,0
146,36,385.0186794000001,[-0.15138888 -0.32708332],22,0,"[8, 22, 23, 26]",6,0
147,36,385.3075036000009,[ 0.12291667 -0.3236111 ],23,0,"[8, 22, 23, 26]",6,0
148,37,388.8060473000005,[-0.1        -0.30694443],8,1,"[4, 8, 11, 24]",7,0
149,37,391.1756621000004,[ 0.44236112 -0.2701389 ],24,2,"[4, 8, 11, 24]",7,0
150,37,394.2854873000015,[-0.5013889  -0.28333333],4,0,"[4, 8, 11, 24]",7,0
151,37,394.7784713000001,[ 0.09861111 -0.2375    ],11,0,"[4, 8, 11, 24]",7,0
152,38,406.7764270000007,[-0.11527777 -0.26041666],3,1,"[0, 3, 7, 27]",8,0
153,38,408.2864362,[ 0.45902777 -0.23888889],27,2,"[0, 3, 7, 27]",8,0
154,38,412.8852747000001,[-0.47291666 -0.275     ],0,0,"[0, 3, 7, 27]",8,0
155,38,413.4123950000012,[ 0.10138889 -0.24722221],7,0,"[0, 3, 7, 27]",8,0
156,39,416.97850280000057,[ 0.11944444 -0.23958333],26,2,"[22, 25, 26, 27]",9,0
157,39,419.7415247000008,[-0.44305557 -0.28541666],22,0,"[22, 25, 26, 27]",9,0
158,39,420.31013370000073,[-0.21388888 -0.2673611 ],25,0,"[22, 25, 26, 27]",9,0
159,39,421.42409790000056,[ 0.43472221 -0.24027778],27,0,"[22, 25, 26, 27]",9,0
160,40,424.2081212000012,[-0.09305555 -0.23472223],17,1,"[8, 17, 27, 28]",10,0
161,40,425.7012640000012,[ 0.45069444 -0.22222222],28,2,"[8, 17, 27, 28]",10,0
162,40,426.64110320000145,[-0.51875 -0.25   ],8,0,"[8, 17, 27, 28]",10,0
163,40,427.1650623000005,[ 0.07013889 -0.21597221],27,0,"[8, 17, 27, 28]",10,0
164,41,434.7461335000007,[ 0.5013889  -0.18958333],29,3,"[2, 5, 16, 29]",11,0
165,41,436.64706000000115,[-0.45347223 -0.23194444],2,0,"[2, 5, 16, 29]",11,0
166,41,438.33302150000054,[ 0.13055556 -0.22569445],16,1,"[2, 5, 16, 29]",11,0
167,41,438.60704520000036,[-0.09375    -0.22430556],5,0,"[2, 5, 16, 29]",11,0
168,42,442.5905651000012,[-0.12847222 -0.22291666],14,1,"[3, 14, 18, 19]",12,0
169,42,444.06809370000155,[ 0.10833333 -0.20902778],18,1,"[3, 14, 18, 19]",12,0
170,42,444.75595930000054,[-0.40902779 -0.22986111],3,0,"[3, 14, 18, 19]",12,0
171,42,446.1861007000007,[ 0.43819445 -0.17638889],19,0,"[3, 14, 18, 19]",12,0
172,43,452.0949177000002,[-0.15902779 -0.23125   ],9,1,"[4, 9, 11, 24]",13,0
173,43,453.7050594000011,[ 0.06944445 -0.23333333],11,1,"[4, 9, 11, 24]",13,0
174,43,454.50895480000145,[-0.46666667 -0.25486112],4,0,"[4, 9, 11, 24]",13,0
175,43,455.34876910000094,[ 0.48680556 -0.19236112],24,0,"[4, 9, 11, 24]",13,0
176,44,458.65491250000014,[-0.06944445 -0.2375    ],10,1,"[3, 10, 12, 25]",14,0
177,44,463.35080580000067,[ 0.51875 -0.20625],25,2,"[3, 10, 12, 25]",14,0
178,44,463.75872920000074,[ 0.20347223 -0.21388888],12,1,"[3, 10, 12, 25]",14,0
179,44,464.45067689999996,[-0.49722221 -0.25486112],3,0,"[3, 10, 12, 25]",14,0
180,45,468.10774480000146,[ 0.47916666 -0.21597221],25,3,"[11, 18, 21, 25]",15,0
181,45,469.0510310000009,[-0.14652778 -0.24236111],18,1,"[11, 18, 21, 25]",15,0
182,45,469.7308799000002,[ 0.05902778 -0.24513888],21,1,"[11, 18, 21, 25]",15,0
183,45,470.22160630000144,[-0.4875     -0.24791667],11,0,"[11, 18, 21, 25]",15,0
184,46,473.2647276000007,[ 0.44583333 -0.19652778],25,3,"[6, 17, 20, 25]",16,0
185,46,476.2366905000017,[-0.50625 -0.25   ],6,0,"[6, 17, 20, 25]",16,0
186,46,476.8785024000008,[-0.12777779 -0.21041666],17,0,"[6, 17, 20, 25]",16,0
187,46,477.3014640000001,[ 0.16319445 -0.2       ],20,0,"[6, 17, 20, 25]",16,0
188,47,480.70464730000094,[ 0.53333336 -0.18263888],23,3,"[4, 6, 20, 23]",17,0
189,47,483.4805750000014,[-0.28958333 -0.22361112],6,1,"[4, 6, 20, 23]",17,0
