,matrix_size,tuple_size,n_components,iteration,change_sim_matrix
0,30,5,5,0,6.599477835
1,30,5,5,1,6.059175884
2,30,5,5,2,5.12624265
3,30,5,5,3,4.871070318
4,30,5,5,4,4.654240396
5,30,5,5,5,3.898312331
6,30,5,5,6,3.726589797
7,30,5,5,7,3.215754412
8,30,5,5,8,2.898703892
9,30,5,5,9,2.619655159
