,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
62,15,278.18562020000536,[-0.48055556 -0.27986111],19,0,"[19, 5, 18, 7]",0,-1
63,15,278.65763720002724,[-0.19236111 -0.30347222],5,0,"[19, 5, 18, 7]",0,-1
64,16,289.745853600034,[ 0.15833333 -0.35347222],25,2,"[7, 27, 25, 22]",11,-1
65,16,294.88975940004457,[-0.44791667 -0.30069444],7,0,"[7, 27, 25, 22]",11,-1
66,16,296.0097948000184,[-0.13958333 -0.33263889],27,0,"[7, 27, 25, 22]",11,-1
67,16,297.79376270005014,[ 0.51388889 -0.35625   ],22,0,"[7, 27, 25, 22]",11,-1
68,17,317.505788200011,[ 0.19444444 -0.33402778],15,2,"[22, 18, 15, 2]",5,-1
69,17,318.041570100002,[-0.10347222 -0.31805556],18,1,"[22, 18, 15, 2]",5,-1
70,17,320.2657660000259,[ 0.60277778 -0.34236111],2,1,"[22, 18, 15, 2]",5,-1
71,17,321.5218000000459,[-0.46111111 -0.27569444],22,0,"[22, 18, 15, 2]",5,-1
72,18,328.33794820000185,[-0.44861111 -0.31597222],23,0,"[23, 19, 12, 9]",8,-1
73,18,335.2817612000508,[-0.08194444 -0.33194444],19,0,"[23, 19, 12, 9]",8,-1
74,18,336.9617481000023,[ 0.47847222 -0.35069444],9,1,"[23, 19, 12, 9]",8,-1
75,18,337.75358380004764,[ 0.23402778 -0.34236111],12,0,"[23, 19, 12, 9]",8,-1
76,19,343.9058958000387,[ 0.19930556 -0.34236111],11,2,"[26, 4, 11, 25]",19,-1
77,19,347.8736166000017,[ 0.51111111 -0.33402778],25,2,"[26, 4, 11, 25]",19,-1
78,19,353.59370800002944,[-0.49097222 -0.29166667],26,0,"[26, 4, 11, 25]",19,-1
79,19,353.98558520001825,[-0.20694444 -0.30833333],4,0,"[26, 4, 11, 25]",19,-1
80,20,357.2736302000121,[ 0.45277778 -0.34513889],19,3,"[3, 15, 17, 19]",29,-1
81,20,366.72186000004876,[ 0.12986111 -0.31944444],17,2,"[3, 15, 17, 19]",29,-1
82,20,372.9539496000507,[-0.29375    -0.29305556],15,1,"[3, 15, 17, 19]",29,-1
83,20,373.38571990001947,[-0.45208333 -0.27986111],3,0,"[3, 15, 17, 19]",29,-1
84,21,388.7857211000519,[-0.05902778 -0.31944444],28,1,"[19, 28, 6, 2]",13,-1
85,21,392.26586570002837,[ 0.08819444 -0.32083333],6,1,"[19, 28, 6, 2]",13,-1
86,21,392.99362640001345,[-0.43194444 -0.27777778],19,0,"[19, 28, 6, 2]",13,-1
87,21,393.7856057000463,[ 0.47083333 -0.33125   ],2,0,"[19, 28, 6, 2]",13,-1
