,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,19.900110100003076,[-0.10208333 -0.33472222],22,1,"[14, 22, 2, 4]",19,-1
1,0,22.5209795999981,[-0.42916667 -0.35486111],14,0,"[14, 22, 2, 4]",19,-1
2,0,25.04784590000054,[ 0.47083333 -0.37222222],4,1,"[14, 22, 2, 4]",19,-1
3,0,25.639823400008027,[ 0.21527778 -0.40069444],2,0,"[14, 22, 2, 4]",19,-1
4,1,29.99492540000938,[-0.45208333 -0.33333333],18,0,"[18, 10, 25, 11]",6,-1
5,1,32.81581540001207,[ 0.10486111 -0.28958333],25,1,"[18, 10, 25, 11]",6,-1
6,1,33.31476340000518,[-0.06527778 -0.31527778],10,0,"[18, 10, 25, 11]",6,-1
7,1,34.100814999997965,[ 0.44097222 -0.23958333],11,0,"[18, 10, 25, 11]",6,-1
8,2,40.373033199997735,[ 0.15       -0.20763889],22,2,"[29, 4, 22, 10]",13,-1
9,2,44.518051300008665,[-0.41180556 -0.37777778],29,0,"[29, 4, 22, 10]",13,-1
10,2,47.81993950001197,[-0.07569444 -0.36736111],4,0,"[29, 4, 22, 10]",13,-1
11,2,48.44283660000656,[ 0.42777778 -0.26319444],10,0,"[29, 4, 22, 10]",13,-1
12,3,52.83100370000466,[ 0.29722222 -0.28819444],10,2,"[3, 5, 10, 21]",23,-1
13,3,55.384940800009645,[ 0.49930556 -0.24930556],21,2,"[3, 5, 10, 21]",23,-1
14,3,57.09790600000997,[-0.15069444 -0.36805556],5,1,"[3, 5, 10, 21]",23,-1
15,3,57.802868200000376,[-0.45       -0.37152778],3,0,"[3, 5, 10, 21]",23,-1
16,4,68.10292350000236,[ 0.07986111 -0.24583333],10,2,"[27, 16, 10, 13]",29,-1
17,4,69.18095069999981,[-0.22777778 -0.30138889],16,1,"[27, 16, 10, 13]",29,-1
18,4,69.66387670001131,[-0.42847222 -0.32847222],27,0,"[27, 16, 10, 13]",29,-1
19,4,70.37283500000194,[ 0.47152778 -0.22777778],13,0,"[27, 16, 10, 13]",29,-1
20,5,73.99489810000523,[-0.47777778 -0.35833333],3,0,"[3, 7, 25, 17]",4,-1
21,5,75.04495860000316,[ 0.2375     -0.25486111],25,1,"[3, 7, 25, 17]",4,-1
22,5,76.48488580000412,[ 0.45833333 -0.27569444],17,1,"[3, 7, 25, 17]",4,-1
23,5,77.08459850000509,[-0.03125    -0.31388889],7,0,"[3, 7, 25, 17]",4,-1
24,6,80.07886610001151,[-0.47777778 -0.32777778],25,0,"[25, 17, 28, 1]",12,-1
25,6,83.78095650000614,[ 0.23055556 -0.33194444],28,1,"[25, 17, 28, 1]",12,-1
26,6,84.29386230000819,[-0.15972222 -0.38055556],17,0,"[25, 17, 28, 1]",12,-1
27,6,84.82581970001047,[ 0.45       -0.26944444],1,0,"[25, 17, 28, 1]",12,-1
28,7,88.42601840000134,[ 0.14652778 -0.25625   ],25,2,"[16, 22, 25, 7]",24,-1
29,7,92.01195050000388,[-0.28125    -0.29027778],22,1,"[16, 22, 25, 7]",24,-1
30,7,92.43985470000189,[-0.44097222 -0.31319444],16,0,"[16, 22, 25, 7]",24,-1
31,7,93.12991300001158,[ 0.44236111 -0.25      ],7,0,"[16, 22, 25, 7]",24,-1
32,8,102.07595080000465,[ 0.10486111 -0.28819444],15,2,"[27, 25, 15, 20]",9,-1
33,8,103.17293919999793,[-0.07291667 -0.32986111],25,1,"[27, 25, 15, 20]",9,-1
34,8,104.27078630001051,[-0.45138889 -0.39861111],27,0,"[27, 25, 15, 20]",9,-1
35,8,104.98976630000107,[ 0.47708333 -0.20625   ],20,0,"[27, 25, 15, 20]",9,-1
36,9,112.2359875000111,[-0.43472222 -0.25138889],24,0,"[24, 28, 23, 22]",10,-1
37,9,113.20398900000146,[ 0.54861111 -0.21527778],22,2,"[24, 28, 23, 22]",10,-1
38,9,115.0789250000089,[ 0.08472222 -0.25      ],23,1,"[24, 28, 23, 22]",10,-1
39,9,115.51383270000224,[-0.12569444 -0.28125   ],28,0,"[24, 28, 23, 22]",10,-1
40,10,120.76508320000721,[-0.47638889 -0.39652778],16,0,"[16, 19, 15, 26]",14,-1
41,10,122.04961490001006,[ 0.46736111 -0.24027778],26,2,"[16, 19, 15, 26]",14,-1
42,10,126.52691280000727,[ 0.16111111 -0.29236111],15,1,"[16, 19, 15, 26]",14,-1
43,10,127.00274999999965,[-0.08402778 -0.35138889],19,0,"[16, 19, 15, 26]",14,-1
44,11,140.7710447999998,[ 0.10277778 -0.22986111],8,2,"[10, 19, 8, 3]",15,-1
45,11,144.8269020000007,[ 0.47291667 -0.31458333],3,2,"[10, 19, 8, 3]",15,-1
46,11,147.0828501000069,[-0.49375    -0.40972222],10,0,"[10, 19, 8, 3]",15,-1
47,11,147.5197133000038,[-0.23125 -0.34375],19,0,"[10, 19, 8, 3]",15,-1
48,12,156.88491900000372,[-0.45972222 -0.36458333],21,0,"[21, 20, 11, 1]",26,-1
49,12,159.74391040000774,[ 0.46944444 -0.26805556],1,2,"[21, 20, 11, 1]",26,-1
50,12,160.30681870000262,[ 0.20972222 -0.31666667],11,1,"[21, 20, 11, 1]",26,-1
51,12,160.90278420000686,[-0.14513889 -0.35138889],20,0,"[21, 20, 11, 1]",26,-1
52,13,167.4298462000006,[-0.45208333 -0.38333333],15,0,"[15, 10, 18, 22]",3,-1
53,13,169.3000391000096,[ 0.12291667 -0.24861111],18,1,"[15, 10, 18, 22]",3,-1
54,13,173.22395670000697,[ 0.45208333 -0.25763889],22,1,"[15, 10, 18, 22]",3,-1
55,13,173.80987050000113,[-0.07013889 -0.27361111],10,0,"[15, 10, 18, 22]",3,-1
56,14,178.74187840000377,[-0.13333333 -0.25694444],22,1,"[29, 22, 24, 10]",7,-1
57,14,190.69091499999922,[ 0.42777778 -0.29027778],10,2,"[29, 22, 24, 10]",7,-1
58,14,192.149822700012,[ 0.04791667 -0.35208333],24,1,"[29, 22, 24, 10]",7,-1
59,14,192.79574169999978,[-0.49375 -0.38125],29,0,"[29, 22, 24, 10]",7,-1
60,15,195.4919474000053,[-0.49166667 -0.21180556],14,0,"[14, 16, 27, 8]",22,-1
61,15,198.503936100009,[-0.06944444 -0.31666667],16,0,"[14, 16, 27, 8]",22,-1
62,15,199.17883319999964,[ 0.48333333 -0.25763889],8,1,"[14, 16, 27, 8]",22,-1
63,15,199.52882180000597,[ 0.16597222 -0.29236111],27,0,"[14, 16, 27, 8]",22,-1
64,16,204.5969352000102,[-0.14097222 -0.31388889],2,1,"[24, 2, 14, 19]",28,-1
65,16,206.04392989999906,[-0.47569444 -0.35625   ],24,0,"[24, 2, 14, 19]",28,-1
66,16,206.64081110000552,[ 0.47291667 -0.25208333],19,1,"[24, 2, 14, 19]",28,-1
67,16,207.0098769000033,[ 0.2375     -0.28333333],14,0,"[24, 2, 14, 19]",28,-1
68,17,213.05189919999975,[ 0.50416667 -0.30833333],26,3,"[1, 10, 17, 26]",27,-1
69,17,214.6688756000076,[-0.13472222 -0.34652778],10,1,"[1, 10, 17, 26]",27,-1
70,17,217.19683530001203,[ 0.21319444 -0.28402778],17,1,"[1, 10, 17, 26]",27,-1
71,17,217.92777110000316,[-0.53402778 -0.33819444],1,0,"[1, 10, 17, 26]",27,-1
72,18,230.37398610000673,[ 0.15763889 -0.21944444],28,2,"[4, 22, 28, 0]",18,-1
73,18,231.15286919999926,[-0.47916667 -0.30069444],4,0,"[4, 22, 28, 0]",18,-1
74,18,232.9619934000075,[-0.17430556 -0.23819444],22,0,"[4, 22, 28, 0]",18,-1
75,18,233.52678960000048,[ 0.48819444 -0.27291667],0,0,"[4, 22, 28, 0]",18,-1
76,19,236.8954667000071,[ 0.48958333 -0.27291667],26,3,"[13, 28, 20, 26]",5,-1
77,19,240.85609850000765,[-0.27638889 -0.23055556],28,1,"[13, 28, 20, 26]",5,-1
78,19,241.31875620000937,[-0.44236111 -0.28194444],13,0,"[13, 28, 20, 26]",5,-1
79,19,241.89479740000388,[ 0.18333333 -0.23472222],20,0,"[13, 28, 20, 26]",5,-1
