,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,52.39666959999998,[ 0.50555557 -0.28333333],9,3,"[24, 29, 10, 9]",0,-1
1,0,56.57420259999999,[-0.13263889 -0.32569444],29,1,"[24, 29, 10, 9]",0,-1
2,0,57.37331349999998,[ 0.12569444 -0.33333334],10,1,"[24, 29, 10, 9]",0,-1
3,0,58.02318390000001,[-0.40833333 -0.31944445],24,0,"[24, 29, 10, 9]",0,-1
4,1,66.46837839999999,[ 0.26527777 -0.23055555],6,2,"[21, 12, 6, 7]",1,-1
5,1,67.63930889999999,[ 0.46875    -0.21597221],7,2,"[21, 12, 6, 7]",1,-1
6,1,69.90513509999998,[-0.44722223 -0.29583332],21,0,"[21, 12, 6, 7]",1,-1
7,1,70.2310442,[-0.26805556 -0.3013889 ],12,0,"[21, 12, 6, 7]",1,-1
8,2,75.2242446,[ 0.25069445 -0.19444445],0,2,"[11, 21, 0, 6]",2,-1
9,2,77.9480339,[-0.49861112 -0.26527777],11,0,"[11, 21, 0, 6]",2,-1
10,2,79.06298449999998,[ 0.425      -0.25069445],6,1,"[11, 21, 0, 6]",2,-1
11,2,79.8883014,[-0.12430555 -0.25208333],21,0,"[11, 21, 0, 6]",2,-1
12,3,95.49388119999999,[ 0.46319443 -0.2736111 ],4,3,"[5, 29, 24, 4]",3,-1
13,3,97.6668327,[ 0.09375    -0.31666666],24,2,"[5, 29, 24, 4]",3,-1
14,3,98.6987557,[-0.26597223 -0.33888888],29,1,"[5, 29, 24, 4]",3,-1
15,3,98.9950717,[-0.44722223 -0.30694443],5,0,"[5, 29, 24, 4]",3,-1
16,4,113.2099559,[ 0.09930556 -0.36319444],27,2,"[11, 3, 27, 23]",4,-1
17,4,115.576575,[-0.4826389  -0.33055556],11,0,"[11, 3, 27, 23]",4,-1
18,4,116.43250199999999,[ 0.43819445 -0.32916668],23,1,"[11, 3, 27, 23]",4,-1
19,4,117.06455719999998,[-0.03819444 -0.34166667],3,0,"[11, 3, 27, 23]",4,-1
20,5,133.00753049999997,[ 0.18611111 -0.35069445],2,2,"[0, 16, 2, 21]",5,-1
21,5,134.31062780000002,[-0.13819444 -0.3236111 ],16,1,"[0, 16, 2, 21]",5,-1
22,5,137.19720359999997,[ 0.4625     -0.32152778],21,1,"[0, 16, 2, 21]",5,-1
23,5,137.74929500000002,[-0.5090278  -0.28958333],0,0,"[0, 16, 2, 21]",5,-1
24,6,146.84528239999997,[ 0.48541668 -0.30347222],8,3,"[28, 29, 11, 8]",6,-1
25,6,147.38511719999997,[-0.44375    -0.28819445],28,0,"[28, 29, 11, 8]",6,-1
26,6,151.75206299999996,[ 0.12777779 -0.30625   ],11,1,"[28, 29, 11, 8]",6,-1
27,6,152.04905829999996,[-0.10069445 -0.2951389 ],29,0,"[28, 29, 11, 8]",6,-1
28,7,162.28822879999996,[ 0.09930556 -0.25069445],11,2,"[9, 23, 11, 12]",7,-1
29,7,163.2991414,[-0.44722223 -0.23958333],9,0,"[9, 23, 11, 12]",7,-1
30,7,164.66427169999997,[-0.12430555 -0.25625   ],23,0,"[9, 23, 11, 12]",7,-1
31,7,165.0989629,[ 0.40486112 -0.25972223],12,0,"[9, 23, 11, 12]",7,-1
32,8,186.2577872,[ 0.51458335 -0.32916668],25,3,"[0, 28, 16, 25]",8,-1
33,8,190.16675729999997,[-0.47916666 -0.34861112],0,0,"[0, 28, 16, 25]",8,-1
34,8,190.5956501,[ 0.05972222 -0.38402778],16,1,"[0, 28, 16, 25]",8,-1
35,8,190.81758509999997,[-0.13402778 -0.36597222],28,0,"[0, 28, 16, 25]",8,-1
36,9,201.22381059999998,[-0.475      -0.34861112],7,0,"[7, 20, 21, 8]",9,-1
37,9,204.16961629999997,[ 0.15972222 -0.3861111 ],21,1,"[7, 20, 21, 8]",9,-1
38,9,205.27368939999997,[ 0.40694445 -0.37916666],8,1,"[7, 20, 21, 8]",9,-1
39,9,205.5824902,[-0.15625   -0.3923611],20,0,"[7, 20, 21, 8]",9,-1
40,10,212.72947019999998,[-0.4888889  -0.38472223],12,0,"[12, 6, 28, 22]",10,-1
41,10,215.59631989999997,[ 0.43263888 -0.3826389 ],22,2,"[12, 6, 28, 22]",10,-1
42,10,215.82254109999997,[ 0.19513889 -0.3611111 ],28,1,"[12, 6, 28, 22]",10,-1
43,10,216.07827849999995,[-0.06666667 -0.3472222 ],6,0,"[12, 6, 28, 22]",10,-1
44,11,226.43556919999997,[-0.08472222 -0.375     ],24,1,"[7, 24, 3, 17]",11,-1
45,11,231.68228669999996,[ 0.20069444 -0.36944443],3,1,"[7, 24, 3, 17]",11,-1
46,11,233.6973041,[ 0.4263889  -0.36319444],17,1,"[7, 24, 3, 17]",11,-1
47,11,234.36930939999996,[-0.47430557 -0.3576389 ],7,0,"[7, 24, 3, 17]",11,-1
48,12,252.6430125,[ 0.41597223 -0.34861112],3,3,"[16, 7, 26, 3]",12,-1
49,12,256.6259862,[ 0.06805556 -0.35347223],26,2,"[16, 7, 26, 3]",12,-1
50,12,261.49786839999996,[-0.42916667 -0.33680555],16,0,"[16, 7, 26, 3]",12,-1
51,12,261.80370539999996,[-0.17986111 -0.3576389 ],7,0,"[16, 7, 26, 3]",12,-1
52,13,270.47598769999996,[-0.45208332 -0.30694443],3,0,"[3, 2, 11, 25]",13,-1
