,trial,click_time,click_pos,clicked_stim,clicked_stim_pos,candidate_stims,target_stim,iteration
0,0,443.0187011999078,[ 0.475      -0.33194444],22,3,"[4, 6, 16, 22]",13,-1
1,0,452.66651739994995,[-0.11111111 -0.28194444],6,1,"[4, 6, 16, 22]",13,-1
2,0,453.05858119996265,[ 0.09861111 -0.2625    ],16,1,"[4, 6, 16, 22]",13,-1
3,0,453.81062789983116,[-0.49166667 -0.3       ],4,0,"[4, 6, 16, 22]",13,-1
4,1,462.7147039999254,[-0.43541667 -0.26180556],22,0,"[22, 29, 3, 10]",28,-1
5,1,466.2585438999813,[ 0.19930556 -0.28958333],3,1,"[22, 29, 3, 10]",28,-1
6,1,466.53857570001855,[ 0.42013889 -0.28958333],10,1,"[22, 29, 3, 10]",28,-1
7,1,466.9466098998673,[-0.27013889 -0.27569444],29,0,"[22, 29, 3, 10]",28,-1
8,2,472.49058109987527,[ 0.22847222 -0.28888889],24,2,"[29, 1, 24, 0]",21,-1
9,2,473.01055089989677,[-0.62222222 -0.26736111],29,0,"[29, 1, 24, 0]",21,-1
10,2,475.95453099999577,[-0.15555556 -0.30972222],1,0,"[29, 1, 24, 0]",21,-1
11,2,476.3305548999924,[ 0.47708333 -0.30138889],0,0,"[29, 1, 24, 0]",21,-1
12,3,484.3146229998674,[-0.22152778 -0.26111111],5,1,"[19, 5, 16, 29]",4,-1
13,3,484.7226020998787,[-0.46805556 -0.24513889],19,0,"[19, 5, 16, 29]",4,-1
14,3,485.5945076998323,[ 0.29513889 -0.32708333],16,0,"[19, 5, 16, 29]",4,-1
15,3,485.8903868999332,[ 0.41111111 -0.33125   ],29,0,"[19, 5, 16, 29]",4,-1
16,4,492.994624099927,[ 0.55763889 -0.30069444],19,3,"[17, 20, 29, 19]",18,-1
17,4,494.5385336999316,[-0.46597222 -0.26805556],17,0,"[17, 20, 29, 19]",18,-1
18,4,496.56254999991506,[ 0.12152778 -0.30625   ],29,1,"[17, 20, 29, 19]",18,-1
19,4,496.83447090000845,[-0.05555556 -0.29791667],20,0,"[17, 20, 29, 19]",18,-1
20,5,503.47471380000934,[ 0.07638889 -0.28680556],28,2,"[6, 25, 28, 21]",2,-1
21,5,504.0026026999112,[-0.07708333 -0.28402778],25,1,"[6, 25, 28, 21]",2,-1
22,5,504.5944211999886,[-0.47361111 -0.24861111],6,0,"[6, 25, 28, 21]",2,-1
23,5,505.0184893000405,[ 0.53194444 -0.29583333],21,0,"[6, 25, 28, 21]",2,-1
24,6,513.7864741999656,[ 0.41736111 -0.29444444],29,3,"[9, 15, 7, 29]",19,-1
25,6,515.6745173998643,[-0.14930556 -0.27013889],15,1,"[9, 15, 7, 29]",19,-1
26,6,515.9303556999657,[ 0.12013889 -0.27708333],7,1,"[9, 15, 7, 29]",19,-1
27,6,516.6583526998293,[-0.58958333 -0.25833333],9,0,"[9, 15, 7, 29]",19,-1
28,7,521.7465546999592,[-0.55486111 -0.27916667],28,0,"[28, 2, 12, 6]",1,-1
29,7,523.546626499854,[-0.07291667 -0.27777778],2,0,"[28, 2, 12, 6]",1,-1
30,7,524.2585495999083,[ 0.48333333 -0.28402778],6,1,"[28, 2, 12, 6]",1,-1
31,7,524.5544232998509,[ 0.24305556 -0.29027778],12,0,"[28, 2, 12, 6]",1,-1
32,8,528.138558199862,[ 0.24583333 -0.28888889],15,2,"[27, 24, 15, 5]",16,-1
33,8,530.8586164999288,[-0.15972222 -0.27430556],24,1,"[27, 24, 15, 5]",16,-1
34,8,533.3224416000303,[-0.51180556 -0.32569444],27,0,"[27, 24, 15, 5]",16,-1
35,8,533.7865336998366,[ 0.58819444 -0.25972222],5,0,"[27, 24, 15, 5]",16,-1
36,9,545.3466868000105,[ 0.04791667 -0.29444444],23,2,"[13, 12, 23, 8]",0,-1
37,9,546.5464889998548,[ 0.60625 -0.2875 ],8,2,"[13, 12, 23, 8]",0,-1
38,9,547.2745399998967,[-0.42083333 -0.30694444],13,0,"[13, 12, 23, 8]",0,-1
39,9,547.6104774998967,[-0.19652778 -0.30069444],12,0,"[13, 12, 23, 8]",0,-1
40,10,551.0425259999465,[-0.5        -0.31666667],20,0,"[20, 26, 13, 11]",3,-1
41,10,552.4265199999791,[ 0.56180556 -0.30069444],11,2,"[20, 26, 13, 11]",3,-1
42,10,554.3625374999829,[ 0.08333333 -0.31597222],13,1,"[20, 26, 13, 11]",3,-1
43,10,554.9786129998975,[-0.19375    -0.30069444],26,0,"[20, 26, 13, 11]",3,-1
44,11,565.730541100027,[-0.24166667 -0.26666667],21,1,"[23, 21, 14, 0]",17,-1
45,11,566.3624702999368,[-0.39583333 -0.25972222],23,0,"[23, 21, 14, 0]",17,-1
46,11,566.8344133000355,[ 0.59375    -0.29097222],0,1,"[23, 21, 14, 0]",17,-1
47,11,567.5543684998993,[ 0.21041667 -0.27847222],14,0,"[23, 21, 14, 0]",17,-1
48,12,572.9466563998722,[-0.48819444 -0.28472222],24,0,"[24, 22, 6, 10]",23,-1
49,12,577.1304654998239,[-0.19583333 -0.24791667],22,0,"[24, 22, 6, 10]",23,-1
50,12,578.2024868999142,[ 0.53125    -0.24861111],10,1,"[24, 22, 6, 10]",23,-1
51,12,578.7144124000333,[ 0.25555556 -0.25069444],6,0,"[24, 22, 6, 10]",23,-1
52,13,589.4107363999356,[-0.15416667 -0.28958333],25,1,"[13, 25, 0, 5]",29,-1
53,13,590.7545654999558,[ 0.58958333 -0.28263889],5,2,"[13, 25, 0, 5]",29,-1
54,13,591.0984655998182,[ 0.13958333 -0.27916667],0,1,"[13, 25, 0, 5]",29,-1
55,13,591.4905168998521,[-0.50972222 -0.27638889],13,0,"[13, 25, 0, 5]",29,-1
56,14,594.4825369999744,[ 0.63333333 -0.29375   ],27,3,"[5, 26, 1, 27]",15,-1
57,14,595.5146653000265,[-0.23541667 -0.32013889],26,1,"[5, 26, 1, 27]",15,-1
58,14,596.2983974998351,[ 0.26041667 -0.31180556],1,1,"[5, 26, 1, 27]",15,-1
59,14,596.9304074998945,[-0.45902778 -0.23680556],5,0,"[5, 26, 1, 27]",15,-1
60,15,600.378478899831,[ 0.47083333 -0.25833333],14,3,"[11, 24, 22, 14]",25,-1
61,15,602.1786358999088,[-0.53402778 -0.24375   ],11,0,"[11, 24, 22, 14]",25,-1
62,15,602.8424658998847,[ 0.12777778 -0.25347222],22,1,"[11, 24, 22, 14]",25,-1
63,15,603.1143173999153,[-0.10208333 -0.25833333],24,0,"[11, 24, 22, 14]",25,-1
64,16,606.8345053000376,[ 0.45208333 -0.28194444],14,3,"[10, 4, 0, 14]",22,-1
65,16,608.6824846998788,[-0.19444444 -0.28472222],4,1,"[10, 4, 0, 14]",22,-1
66,16,609.042602499947,[-0.51875    -0.25347222],10,0,"[10, 4, 0, 14]",22,-1
67,16,609.5784393998329,[ 0.06388889 -0.26875   ],0,0,"[10, 4, 0, 14]",22,-1
68,17,614.1946651998442,[-0.1375     -0.28958333],25,1,"[5, 25, 29, 3]",27,-1
69,17,616.6825142998714,[ 0.39444444 -0.29375   ],3,2,"[5, 25, 29, 3]",27,-1
70,17,617.4104041999672,[-0.47291667 -0.25902778],5,0,"[5, 25, 29, 3]",27,-1
71,17,617.7463423998561,[ 0.19791667 -0.27569444],29,0,"[5, 25, 29, 3]",27,-1
72,18,623.2585888998583,[-0.5625     -0.25347222],3,0,"[3, 4, 27, 6]",20,-1
73,18,624.6505612998735,[ 0.54583333 -0.25902778],6,2,"[3, 4, 27, 6]",20,-1
74,18,625.5224242999684,[-0.15833333 -0.25069444],4,0,"[3, 4, 27, 6]",20,-1
75,18,625.8103061998263,[ 0.16944444 -0.26527778],27,0,"[3, 4, 27, 6]",20,-1
76,19,634.4905141999479,[ 0.54722222 -0.28611111],21,3,"[9, 3, 22, 21]",24,-1
